Mark R. Vinson. 2000. Long-term dynamics of an invertebrate assemblage downstream from  		
a large dam. Ecological Applications VOL: pp-pp.		
Water temperature for a sited located 26 km downstream from Flaming Gorge Dam		

Date	Time	Temperature C
02/19/1994	02:44:10	2.54
02/19/1994	15:56:10	3.00
02/19/1994	23:08:10	2.54
02/19/1994	08:44:10	2.23
02/19/1994	00:20:10	2.23
02/19/1994	17:08:10	3.17
02/19/1994	20:44:10	2.86
02/19/1994	11:08:10	2.54
02/19/1994	03:56:10	2.69
02/19/1994	05:08:10	2.54
02/19/1994	06:20:10	2.54
02/19/1994	01:32:10	2.37
02/19/1994	13:32:10	2.69
02/19/1994	14:44:10	2.86
02/19/1994	21:56:10	2.86
02/19/1994	07:32:10	2.37
02/19/1994	09:56:10	2.37
02/19/1994	12:20:10	2.54
02/19/1994	18:20:10	3.17
02/19/1994	19:32:10	3.00
02/20/1994	23:08:10	3.00
02/20/1994	07:32:10	1.59
02/20/1994	09:56:10	1.73
02/20/1994	18:20:10	2.69
02/20/1994	11:08:10	2.23
02/20/1994	02:44:10	2.23
02/20/1994	19:32:10	2.69
02/20/1994	14:44:10	2.69
02/20/1994	03:56:10	2.23
02/20/1994	15:56:10	2.69
02/20/1994	06:20:10	1.73
02/20/1994	17:08:10	2.86
02/20/1994	12:20:10	2.37
02/20/1994	20:44:10	2.86
02/20/1994	21:56:10	3.00
02/20/1994	08:44:10	1.42
02/20/1994	13:32:10	2.54
02/20/1994	00:20:10	2.37
02/20/1994	05:08:10	2.06
02/20/1994	01:32:10	2.37
02/21/1994	13:32:10	2.69
02/21/1994	23:08:10	2.54
02/21/1994	21:56:10	2.86
02/21/1994	11:08:10	2.23
02/21/1994	00:20:10	2.86
02/21/1994	12:20:10	2.69
02/21/1994	03:56:10	2.54
02/21/1994	01:32:10	2.69
02/21/1994	06:20:10	2.06
02/21/1994	14:44:10	3.00
02/21/1994	08:44:10	1.73
02/21/1994	02:44:10	2.54
02/21/1994	05:08:10	2.37
02/21/1994	07:32:10	1.73
02/21/1994	09:56:10	2.06
02/21/1994	15:56:10	3.32
02/21/1994	17:08:10	3.32
02/21/1994	18:20:10	3.17
02/21/1994	19:32:10	3.00
02/21/1994	20:44:10	2.86
02/22/1994	21:56:10	2.69
02/22/1994	17:08:10	3.17
02/22/1994	01:32:10	2.37
02/22/1994	11:08:10	1.90
02/22/1994	12:20:10	2.37
02/22/1994	05:08:10	2.06
02/22/1994	13:32:10	2.69
02/22/1994	07:32:10	1.42
02/22/1994	14:44:10	2.86
02/22/1994	09:56:10	1.59
02/22/1994	15:56:10	3.00
02/22/1994	02:44:10	2.23
02/22/1994	23:08:10	2.37
02/22/1994	03:56:10	2.23
02/22/1994	06:20:10	1.73
02/22/1994	08:44:10	1.27
02/22/1994	00:20:10	2.54
02/22/1994	18:20:10	3.17
02/22/1994	19:32:10	3.00
02/22/1994	20:44:10	2.86
02/23/1994	01:32:10	2.06
02/23/1994	23:08:10	2.86
02/23/1994	21:56:10	3.17
02/23/1994	17:08:10	3.48
02/23/1994	12:20:10	2.37
02/23/1994	11:08:10	2.06
02/23/1994	13:32:10	2.69
02/23/1994	05:08:10	1.90
02/23/1994	14:44:10	3.17
02/23/1994	07:32:10	1.59
02/23/1994	15:56:10	3.48
02/23/1994	00:20:10	2.23
02/23/1994	03:56:10	2.06
02/23/1994	06:20:10	1.73
02/23/1994	08:44:10	1.59
02/23/1994	09:56:10	1.73
