SampleID,HCOC,HYCA,HYCO,HYOC,HYOS,HYQU,CaptureDay,Seg,Latitude,Longitude,MeanTemp,RangeTemp,MeanQ,StageChange
L03393,0,0,0,0,0,0,132,C1,38.3028,-109.7857,12.24,22.26,179.30,7.06
L03395,0,0,0,0,0,0,131,C1,38.4061,-109.7491,12.13,22.07,179.30,7.13
L03422,0,0,0,0,0,0,192,C1,38.3028,-109.7857,12.24,22.26,179.30,7.06
L03544,0,0,0,52,0,0,186,C1,39.1569,-108.9602,11.05,20.10,159.28,6.13
L04398,0,0,0,2,0,0,216,C1,38.3131,-109.7652,12.22,22.23,179.30,7.07
L04400,0,0,0,0,0,0,207,C1,38.4591,-109.7597,12.09,21.99,179.30,7.15
L04401,0,0,0,0,0,0,194,C1,38.2753,-109.7929,12.26,22.30,179.30,7.04
L04432,0,0,0,0,0,0,243,C1,38.3131,-109.7652,12.22,22.23,179.30,7.07
L04433,0,0,0,0,0,0,244,C1,38.2402,-109.8099,12.32,22.40,179.30,7.00
L04434,0,0,0,0,0,0,250,C1,38.3131,-109.7652,12.22,22.23,179.30,7.07
L04560,1,0,0,0,0,0,131,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L04748,0,0,0,0,0,0,256,C1,38.4285,-109.7356,12.12,22.04,179.30,7.13
L04751,0,0,0,0,0,0,256,C1,38.2557,-109.8093,12.28,22.33,179.30,7.03
L04765,0,0,0,2,0,0,199,C1,38.4591,-109.7597,12.09,21.99,179.30,7.15
L04768,0,0,0,0,0,0,206,C1,38.4591,-109.7597,12.09,21.99,179.30,7.15
L04769,0,0,0,0,0,0,207,C1,38.3028,-109.7857,12.24,22.26,179.30,7.06
L04793,0,0,0,0,0,0,157,C1,38.4061,-109.7491,12.13,22.07,179.30,7.13
L04875,0,0,0,25,0,0,193,C1,38.9632,-109.1948,11.34,20.62,159.28,6.43
L05678,0,0,0,0,0,0,102,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L05679,0,0,0,0,0,0,116,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L05681,0,0,0,0,0,0,144,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L05682,0,0,6,1,0,0,172,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L05683,0,0,17,2,0,0,221,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L05684,0,0,27,2,0,0,242,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L05685,0,0,9,0,0,0,256,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L06102,0,0,0,0,0,0,277,C1,38.6043,-109.5791,11.84,21.53,159.28,7.05
L07194,0,0,0,0,0,0,253,C1,38.2908,-109.7946,12.25,22.27,179.30,7.05
L07197,0,0,0,2,0,0,244,C1,39.1528,-108.9968,11.10,20.18,159.28,6.15
L07198,1,0,0,19,0,0,243,C1,39.1528,-108.9968,11.10,20.18,159.28,6.15
L07200,0,0,0,0,0,0,201,C1,38.3930,-109.7464,12.14,22.08,179.30,7.12
L07355,0,0,1,0,0,0,263,C1,38.4168,-109.7378,12.13,22.05,179.30,7.13
L07364,0,0,0,0,0,0,264,C1,38.4168,-109.7378,12.13,22.05,179.30,7.13
L07365,0,0,0,0,0,0,262,C1,38.2753,-109.7929,12.26,22.30,179.30,7.04
L07458,0,0,0,0,0,0,178,C1,38.3516,-109.7793,12.20,22.19,179.30,7.08
L03396,0,0,0,0,0,0,133,C2,38.1305,-109.9555,12.67,23.56,312.49,5.64
L03417,0,0,0,0,0,0,205,C2,37.9808,-110.1621,12.70,23.59,312.49,5.64
L03419,0,0,0,0,0,0,195,C2,38.0830,-110.0378,12.69,23.58,312.49,5.64
L03420,0,0,0,0,0,0,196,C2,37.9808,-110.1621,12.70,23.59,312.49,5.64
L03538,0,0,0,0,0,0,193,C2,38.1305,-109.9555,12.67,23.56,312.49,5.64
L03540,0,0,0,0,0,0,204,C2,38.0830,-110.0378,12.69,23.58,312.49,5.64
L03543,0,0,0,0,0,0,194,C2,38.1305,-109.9555,12.67,23.56,312.49,5.64
L04399,0,0,0,1,0,0,209,C2,38.1578,-109.9319,12.66,23.56,312.49,5.64
L04435,0,0,0,0,0,0,251,C2,38.1578,-109.9319,12.66,23.56,312.49,5.64
L04437,0,0,0,0,0,0,252,C2,38.1005,-109.9875,12.68,23.57,312.49,5.64
L04462,0,0,0,4,0,0,224,C2,38.1350,-109.9390,12.66,23.56,312.49,5.64
L04463,0,0,0,0,0,0,225,C2,38.0075,-110.1244,12.70,23.59,312.49,5.64
L04466,0,0,0,0,0,0,146,C2,38.1182,-109.9633,12.67,23.57,312.49,5.64
L04754,0,0,0,0,0,0,192,C2,38.1056,-110.0170,12.69,23.58,312.49,5.64
L04755,0,0,0,0,0,0,191,C2,38.1820,-109.8883,12.66,23.56,312.49,5.64
L04766,0,0,1,0,0,0,201,C2,38.1450,-109.9282,12.66,23.56,312.49,5.64
L04767,0,0,0,0,0,0,202,C2,38.0564,-110.0438,12.70,23.59,312.49,5.64
L04770,0,0,2,0,0,0,208,C2,38.1450,-109.9282,12.66,23.56,312.49,5.64
L04773,0,0,0,0,0,0,223,C2,38.0944,-110.0279,12.69,23.58,312.49,5.64
L04779,0,0,0,0,0,0,167,C2,38.13505,-109.93901,12.67,23.56,312.49,5.64
L04790,0,0,0,0,0,0,153,C2,38.1108,-109.9764,12.67,23.57,312.49,5.64
L04829,0,0,1,0,0,0,258,C2,38.1108,-109.9764,12.67,23.57,312.49,5.64
L04838,0,0,0,0,0,0,260,C2,37.9125,-110.2010,12.70,23.59,312.49,5.64
L05007,0,0,0,0,0,0,86,C2,38.1656,-109.9167,12.66,23.56,312.49,5.64
L05008,0,0,0,0,0,0,89,C2,37.9125,-110.2010,12.70,23.59,312.49,5.64
L05012,0,0,0,0,0,0,88,C2,38.0944,-110.0279,12.69,23.58,312.49,5.64
L05013,0,0,0,0,0,0,87,C2,38.1656,-109.9167,12.66,23.56,312.49,5.64
L06313,0,0,0,4,0,0,155,C2,38.0564,-110.0438,12.70,23.59,312.49,5.64
L06607,0,0,0,2,0,0,257,C2,38.1450,-109.9282,12.66,23.56,312.49,5.64
L06612,0,0,0,0,0,0,258,C2,38.1005,-109.9875,12.68,23.57,312.49,5.64
L06613,0,0,0,0,0,0,259,C2,38.0485,-110.0547,12.70,23.59,312.49,5.64
L06614,0,0,0,0,0,0,260,C2,37.8962,-110.2371,12.70,23.59,312.49,5.64
L07128,0,0,0,0,0,0,234,C2,38.0944,-110.0279,12.69,23.58,312.49,5.64
L07129,0,0,0,0,0,0,235,C2,37.8990,-110.2050,12.70,23.59,312.49,5.64
L07192,0,0,0,2,0,0,254,C2,38.11077,-109.97638,12.67,23.57,312.49,5.64
L07459,0,0,0,0,0,0,179,C2,38.1450,-109.9282,12.66,23.56,312.49,5.64
L07460,0,0,1,0,0,0,180,C2,38.1450,-109.9282,12.66,23.56,312.49,5.64
L07461,0,0,4,0,0,0,181,C2,38.0564,-110.0438,12.70,23.59,312.49,5.64
L07462,0,0,0,0,0,0,182,C2,37.9808,-110.1621,12.70,23.59,312.49,5.64
L07580,0,0,4,9,0,0,220,C2,38.1450,-109.9282,12.66,23.56,312.49,5.64
L07653,0,0,0,0,0,0,189,C2,38.1450,-109.9282,12.66,23.56,312.49,5.64
L07655,0,0,0,0,0,0,222,C2,38.0702,-110.0471,12.70,23.59,312.49,5.64
L08121,0,0,0,0,0,0,204,C2,38.0564,-110.0438,12.70,23.59,312.49,5.64
L08129,0,0,0,0,0,0,203,C2,38.1005,-109.9875,12.68,23.57,312.49,5.64
L01816,0,0,0,0,0,0,113,C3,36.8798,-111.5336,10.09,3.04,332.75,66.18
L01829,0,0,0,0,0,0,70,C3,36.2965,-111.8588,11.12,4.26,332.75,56.70
L01830,0,0,0,0,0,0,69,C3,36.3873,-111.8497,10.98,4.06,332.75,68.90
L01831,0,0,0,0,0,0,68,C3,36.5026,-111.8570,10.78,3.77,332.75,83.00
L01832,0,0,0,0,0,0,67,C3,36.7404,-111.6934,10.42,3.26,332.75,77.74
L01843,0,0,0,0,0,0,76,C3,36.2970,-111.8588,11.12,4.26,332.75,56.74
L01885,0,0,0,0,0,0,49,C3,36.8432,-111.5694,10.20,2.99,332.75,67.08
L01984,0,0,0,0,0,0,239,C3,36.7315,-111.6941,10.44,3.28,332.75,78.87
L02068,0,0,0,0,0,0,113,C3,36.8510,-111.5452,10.16,3.01,332.75,66.56
L02084,0,0,0,0,0,0,75,C3,36.4699,-111.8413,10.83,3.84,332.75,80.09
L02530,0,0,0,0,0,0,314,C3,36.9011,-111.5131,10.02,3.08,332.75,67.15
L02836,0,0,0,0,0,0,49,C3,36.9011,-111.5131,10.02,3.08,332.75,67.15
L02837,0,0,0,0,0,0,49,C3,36.8510,-111.5452,10.16,3.01,332.75,66.56
