"Parameter" , "Eta2_partial" , "CI" , "CI_low" , "CI_high" , "Beta" , "AbsBeta" , "Effect_Size" , "Direction"
"1" , "temperature" , 0.0424786641364275 , 0.95 , 0.0401599711224298 , 1 , 0.135451975527909 , 0.135451975527909 , "Medium" , "Positive"
"2" , "hydropeaking" , 0.00188282642426562 , 0.95 , 0.00139828302989647 , 1 , -0.159327402595947 , 0.159327402595947 , "Medium" , "Negative"
"3" , "temperature:temp_spike" , 0.00162575216239309 , 0.95 , 0.00117792676201092 , 1 , 0.432842070348071 , 0.432842070348071 , "Large" , "Positive"
"4" , "temp_spike" , 0.00145425592456116 , 0.95 , 0.00103258531125452 , 1 , -0.369268194180145 , 0.369268194180145 , "Large" , "Negative"
"5" , "HFE" , 0.00050366784558628 , 0.95 , 0.000270124485879925 , 1 , -0.0958687614303646 , 0.0958687614303646 , "Small" , "Negative"
"6" , "temperature:temp_spike:hydropeaking" , 0.000160946475144457 , 0.95 , 4.45872874113314e-05 , 1 , -0.256895678648874 , 0.256895678648874 , "Medium" , "Negative"
"7" , "temperature:temp_spike:hydropeaking:HFE" , 0.000113176490296537 , 0.95 , 2.14238294046452e-05 , 1 , 0.178550163666676 , 0.178550163666676 , "Medium" , "Positive"
"8" , "temp_spike:hydropeaking:HFE" , 6.27248407395347e-05 , 0.95 , 3.10838118730387e-06 , 1 , -0.155680365815915 , 0.155680365815915 , "Medium" , "Negative"
"9" , "temperature:hydropeaking:HFE" , 5.45681164380309e-05 , 0.95 , 8.65025248592509e-07 , 1 , -0.0358094225295142 , 0.0358094225295142 , "Small" , "Negative"
"10" , "temperature:HFE" , 4.32347094899068e-05 , 0.95 , 0 , 1 , 0.0877306264804388 , 0.0877306264804388 , "Small" , "Positive"
"11" , "temp_spike:hydropeaking" , 3.39048635576312e-05 , 0.95 , 0 , 1 , 0.229609279639643 , 0.229609279639643 , "Medium" , "Positive"
"12" , "temperature:hydropeaking" , 2.57960665519933e-05 , 0.95 , 0 , 1 , 0.134714488686391 , 0.134714488686391 , "Medium" , "Positive"
"13" , "temperature:temp_spike:HFE" , 1.49170252251501e-05 , 0.95 , 0 , 1 , -0.159688385674823 , 0.159688385674823 , "Medium" , "Negative"
"14" , "temp_spike:HFE" , 8.11141443553849e-06 , 0.95 , 0 , 1 , 0.138967899491933 , 0.138967899491933 , "Medium" , "Positive"
"15" , "hydropeaking:HFE" , 1.52042392115564e-06 , 0.95 , 0 , 1 , 0.0197772212378073 , 0.0197772212378073 , "Small" , "Positive"
