,,Baet,,Hyos,,CHIR,,Gamm,,NZMS
Parameter,Rel. Abundance,Rel. Biomass,Rel. Abundance,Rel. Biomass,Rel. Abundance,Rel. Biomass,Rel. Abundance,Rel. Biomass,Rel. Abundance,Rel. Biomass
temperature,<0.001,0.133,0.087,0.247,0.001,0.193,0.005,0.039,0.01,0.261
temp_spike,0.006,<0.001,0.021,<0.001,0.008,0.002,0.005,0.003,0.02,<0.001
hydropeaking,0.011,0.001,<0.001,<0.001,<0.001,<0.001,<0.001,0.001,0.00,<0.001
HFE,0.035,0.090,0.028,0.042,0.092,0.042,0.149,0.255,0.03,0.001
temperature:temp_spike,0.002,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001
temperature:hydropeaking,0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,0.00,<0.001
temperature:HFE,0.001,0.001,0.105,0.062,0.005,0.002,0.009,0.004,0.03,0.059
temp_spike:hydropeaking,0.003,0.001,0.004,0.003,<0.001,<0.001,<0.001,<0.001,<0.001,0.003
temp_spike:HFE,<0.001,0.002,0.011,0.005,0.003,0.003,0.003,0.003,0.00,0.007
hydropeaking:HFE,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,0.001,<0.001,<0.001
temperature:temp_spike:hydropeaking,0.001,0.001,<0.001,0.002,<0.001,<0.001,<0.001,<0.001,<0.001,0.002
temperature:temp_spike:HFE,<0.001,0.001,<0.001,0.001,<0.001,<0.001,0.005,0.008,<0.001,<0.001
temperature:hydropeaking:HFE,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,0.001,<0.001,<0.001
temp_spike:hydropeaking:HFE,<0.001,<0.001,0.006,0.004,<0.001,<0.001,<0.001,<0.001,0.00,0.004
temperature:temp_spike:hydropeaking:HFE,<0.001,<0.001,0.004,0.002,<0.001,<0.001,<0.001,<0.001,<0.001,0.002
