"","taxa","q","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","BAET",1,"temperature",0.995760844950496,0.95,0.995718208547752,1
"2","BAET",1,"temp_spike",0.758499524194873,0.95,0.755082934706518,1
"3","BAET",1,"hydropeaking",0.634678466109324,0.95,0.629726936203309,1
"4","BAET",1,"HFE",0.988651443140551,0.95,0.98847935555566,1
"5","BAET",1,"temperature:temp_spike",0.525678565040137,0.95,0.519590255156546,1
"6","BAET",1,"temperature:hydropeaking",0.772204342189045,0.95,0.768966178486855,1
"7","BAET",1,"temperature:HFE",0.863223049464791,0.95,0.861244757372423,1
"8","BAET",1,"temp_spike:hydropeaking",0.0397079775099746,0.95,0.0359237482222313,1
"9","BAET",1,"temp_spike:HFE",0.666137043094363,0.95,0.661553148700482,1
"10","BAET",1,"hydropeaking:HFE",0.305623169880767,0.95,0.298394748956334,1
"11","BAET",1,"temperature:temp_spike:hydropeaking",0.343315586175346,0.95,0.336109631617579,1
"12","BAET",1,"temperature:temp_spike:HFE",0.034247840243207,0.95,0.0306463900539188,1
"13","BAET",1,"temperature:hydropeaking:HFE",0.597703052240174,0.95,0.592330181730992,1
"14","BAET",1,"temp_spike:hydropeaking:HFE",0.000346168168148144,0.95,7.05900071682109e-05,1
"15","BAET",1,"temperature:temp_spike:hydropeaking:HFE",0.000200118081920149,0.95,1.46434291309388e-05,1
"16","BAET",2,"temperature",0.99543706316929,0.95,0.995850154200787,1
"17","BAET",2,"temp_spike",0.984775103815374,0.95,0.984552839128656,1
"18","BAET",2,"hydropeaking",0.999835601973117,0.95,0.999850545014642,1
"19","BAET",2,"HFE",0.998701732470147,0.95,0.998819617477197,1
"20","BAET",2,"temperature:temp_spike",0.998006350831231,0.95,0.998187263122813,1
"21","BAET",2,"temperature:hydropeaking",0.995297383916073,0.95,0.995723066034752,1
"22","BAET",2,"temperature:HFE",0.995344987513965,0.95,0.995766378870948,1
"23","BAET",2,"temp_spike:hydropeaking",0.976058939286998,0.95,0.975709559073106,1
"24","BAET",2,"temp_spike:HFE",0.997081456463055,0.95,0.997346074457574,1
"25","BAET",2,"hydropeaking:HFE",0.99911881871651,0.95,0.999198861928838,1
"26","BAET",2,"temperature:temp_spike:hydropeaking",0.998697497830558,0.95,0.99881576689449,1
"27","BAET",2,"temperature:temp_spike:HFE",0.843069605887572,0.95,0.840806705452933,1
"28","BAET",2,"temperature:hydropeaking:HFE",0.992563012407482,0.95,0.993234528122219,1
"29","BAET",2,"temp_spike:hydropeaking:HFE",0.555516789641391,0.95,0.549725632346333,1
"30","BAET",2,"temperature:temp_spike:hydropeaking:HFE",0.447916199085629,0.95,0.441233427280189,1
"31","BAET",4,"temperature",0.996174423182483,0.95,0.996520992965106,1
"32","BAET",4,"temp_spike",0.997104946324444,0.95,0.997367440167493,1
"33","BAET",4,"hydropeaking",0.999916525909693,0.95,0.999924113887491,1
"34","BAET",4,"HFE",0.996847043017136,0.95,0.997132853652933,1
"35","BAET",4,"temperature:temp_spike",0.998513426073968,0.95,0.998648386496936,1
"36","BAET",4,"temperature:hydropeaking",0.995685662753754,0.95,0.995642273495729,1
"37","BAET",4,"temperature:HFE",0.985913597826512,0.95,0.985707771302556,1
"38","BAET",4,"temp_spike:hydropeaking",0.994941833384867,0.95,0.995399551273865,1
"39","BAET",4,"temp_spike:HFE",0.996012906189806,0.95,0.996374054992288,1
"40","BAET",4,"hydropeaking:HFE",0.998215780674502,0.95,0.998377719294585,1
"41","BAET",4,"temperature:temp_spike:hydropeaking",0.999126719431439,0.95,0.999206045542672,1
"42","BAET",4,"temperature:temp_spike:HFE",0.605425756254652,0.95,0.600136459083326,1
"43","BAET",4,"temperature:hydropeaking:HFE",0.976041796916785,0.95,0.975692121220331,1
"44","BAET",4,"temp_spike:hydropeaking:HFE",0.496457604117254,0.95,0.490136034266545,1
"45","BAET",4,"temperature:temp_spike:hydropeaking:HFE",0.464122133984193,0.95,0.457551707586191,1
"46","BAET",8,"temperature",0.993041907124909,0.95,0.993670457245704,1
"47","BAET",8,"temp_spike",0.994044902153696,0.95,0.994583342255462,1
"48","BAET",8,"hydropeaking",0.999864809542197,0.95,0.999877098073346,1
"49","BAET",8,"HFE",0.993466911718122,0.95,0.99405729936303,1
"50","BAET",8,"temperature:temp_spike",0.997839073772254,0.95,0.998035135617778,1
"51","BAET",8,"temperature:hydropeaking",0.991883989423709,0.95,0.992616360776642,1
"52","BAET",8,"temperature:HFE",0.975229496380933,0.95,0.97486797150611,1
