"","taxon","Parameter","Eta2_partial","CI","CI_low","CI_high"
"1","1","temperature",0.315798896912215,0.95,0.336744434507555,1
"2","1","temp_spike",0.0314470697610165,0.95,0.03137823578271,1
"3","1","hydropeaking",0.00184507455891812,0.95,0.00182882160218893,1
"4","1","HFE",0.0366361492618958,0.95,0.040152660302475,1
"5","1","temperature:temp_spike",0.020111672106511,0.95,0.020059126839413,1
"6","1","temperature:hydropeaking",0.00125823560069728,0.95,0.0012447838421571,1
"7","1","temperature:HFE",0.0616932487626335,0.95,0.0674464744264017,1
"8","1","temp_spike:hydropeaking",0.00166827549157516,0.95,0.00165281919428422,1
"9","1","temp_spike:HFE",0.00493705366054151,0.95,0.00491054701964518,1
"10","1","hydropeaking:HFE",0.00140269277008635,0.95,0.00138851837201738,1
"11","1","temperature:temp_spike:hydropeaking",0.00527858952746122,0.95,0.00525116550091194,1
"12","1","temperature:temp_spike:HFE",0.00979550594946441,0.95,0.00975835579443844,1
"13","1","temperature:hydropeaking:HFE",0.00445669385309044,0.95,0.0044314699264067,1
"14","1","temp_spike:hydropeaking:HFE",0.00333158082757201,0.95,0.00330976907099991,1
"15","1","temperature:temp_spike:hydropeaking:HFE",0.00656490991472317,0.95,0.00653437467929456,1
"16","2","temperature",0.0440694215354149,0.95,0.0482636684937866,1
"17","2","temp_spike",0.0535834451332953,0.95,0.0586276425398918,1
"18","2","hydropeaking",0.25186249357398,0.95,0.270242351675158,1
"19","2","HFE",0.0136260893371367,0.95,0.0135825088606402,1
"20","2","temperature:temp_spike",0.0852147597443379,0.95,0.0929442138336259,1
"21","2","temperature:hydropeaking",0.0656805600539851,0.95,0.071777179524358,1
"22","2","temperature:HFE",0.0962871605914925,0.95,0.104905768789996,1
"23","2","temp_spike:hydropeaking",0.436465203001369,0.95,0.460032888495075,1
"24","2","temp_spike:HFE",0.302510491147536,0.95,0.322990731771849,1
"25","2","hydropeaking:HFE",0.604033952186969,0.95,0.626589230477362,1
"26","2","temperature:temp_spike:hydropeaking",0.144560725585492,0.95,0.15675079724545,1
"27","2","temperature:temp_spike:HFE",0.0434210127817476,0.95,0.0475566184063545,1
"28","2","temperature:hydropeaking:HFE",0.0643358226804546,0.95,0.0703170146499065,1
"29","2","temp_spike:hydropeaking:HFE",0.174525070360828,0.95,0.188684558806736,1
"30","2","temperature:temp_spike:hydropeaking:HFE",0.0117598886991454,0.95,0.0117192833671867,1
"31","3","temperature",0.117447030928103,0.95,0.127692029052375,1
"32","3","temp_spike",0.0192978581681672,0.95,0.0192463594656905,1
"33","3","hydropeaking",0.0324338687829379,0.95,0.0355619146140057,1
"34","3","HFE",0.246475820814207,0.95,0.26460161292225,1
"35","3","temperature:temp_spike",0.013904365392133,0.95,0.0138603314002452,1
"36","3","temperature:hydropeaking",0.00715238212671946,0.95,0.00712053292656317,1
"37","3","temperature:HFE",0.0574679986712209,0.95,0.062853591526908,1
"38","3","temp_spike:hydropeaking",0.117763517935614,0.95,0.1280321184613,1
"39","3","temp_spike:HFE",0.0646557178859816,0.95,0.070664403898277,1
"40","3","hydropeaking:HFE",0.118153677336312,0.95,0.128451345190636,1
"41","3","temperature:temp_spike:hydropeaking",0.00421333564505896,0.95,0.00418880279812745,1
"42","3","temperature:temp_spike:HFE",0.00849643003318582,0.95,0.00846177490693636,1
"43","3","temperature:hydropeaking:HFE",0.0111586641655989,0.95,0.011119080660175,1
"44","3","temp_spike:hydropeaking:HFE",0.0581870734672326,0.95,0.0636355044367771,1
"45","3","temperature:temp_spike:hydropeaking:HFE",0.00438266573828999,0.95,0.00435764993730425,1
"46","4","temperature",0.0740537657564916,0.95,0.0808603410565813,1
"47","4","temp_spike",0.0524760932697413,0.95,0.0574223724196292,1
