"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.110338895820308,0.0839637798497059
"1","HYOS","2",0.110338894310393,0.0839637835377821
"1","HYOS","4",0.1103388512137,0.0839637770263363
"1","HYOS","8",0.110338775077833,0.0839637474211962
"1","BAET","1",0.000260173690439439,0.000184339097916793
"1","BAET","2",0.000260173670242502,0.000184339140622917
"1","BAET","4",0.000260173630694432,0.000184339210926929
"1","BAET","8",0.000260173587374412,0.00018433927397129
"1","NZMS","1",0.850876290041969,0.0870497501729321
"1","NZMS","2",0.850876289186,0.0870497362652046
"1","NZMS","4",0.850876298241799,0.0870497107965457
"1","NZMS","8",0.85087632936863,0.0870496847600245
"1","CHIR","1",0.00168715494799374,0.00157946481040989
"1","CHIR","2",0.00168715445373971,0.00157946497882326
"1","CHIR","4",0.00168715584441799,0.00157946873447231
"1","CHIR","8",0.00168715558148228,0.00157946762995473
"1","GAMM","1",0.0368374854992904,0.0136724969507119
"1","GAMM","2",0.0368374883796251,0.0136725543831251
"1","GAMM","4",0.0368375210693887,0.0136726435461815
"1","GAMM","8",0.0368375663846805,0.0136727088810082
"1.1","HYOS","1",0.0512208134211113,0.0400708296801301
"1.1","HYOS","2",0.0512236961942417,0.040079593409907
"1.1","HYOS","4",0.0512213815328003,0.0400726329223143
"1.1","HYOS","8",0.0512234905346481,0.0400789862884736
"1.1","BAET","1",0.000124625922929027,8.16373251826807e-05
"1.1","BAET","2",0.00012462607819355,8.16385663616949e-05
"1.1","BAET","4",0.000124625995580367,8.16375831006338e-05
"1.1","BAET","8",0.00012462607886753,8.16384811361596e-05
"1.1","NZMS","1",0.922144696656191,0.0442285878841945
"1.1","NZMS","2",0.922165444858217,0.0441949420324206
"1.1","NZMS","4",0.922149001427164,0.0442216066179099
"1.1","NZMS","8",0.922164016298823,0.0441972570892659
"1.1","CHIR","1",0.000995941892519105,0.000942322580678014
"1.1","CHIR","2",0.000996299902034667,0.000942898511467561
"1.1","CHIR","4",0.000996016667330343,0.00094244247587714
"1.1","CHIR","8",0.000996275406315935,0.000942858999213611
"1.1","GAMM","1",0.0255139221072499,0.0126966965107471
"1.1","GAMM","2",0.0254899329673128,0.0126864080660029
"1.1","GAMM","4",0.0255089743771251,0.0126945759090218
"1.1","GAMM","8",0.0254915916813456,0.0126871203051606
"1.2","HYOS","1",0.0320009807743059,0.0242307680821341
"1.2","HYOS","2",0.0320009967300093,0.0242307678036245
"1.2","HYOS","4",0.0320010015560073,0.0242307677185298
"1.2","HYOS","8",0.0320010006662061,0.0242307677349137
"1.2","BAET","1",0.000109888722843851,8.40713092626281e-05
"1.2","BAET","2",0.000109888751197671,8.40713205577394e-05
"1.2","BAET","4",0.000109888759768311,8.4071323970987e-05
"1.2","BAET","8",0.000109888758194724,8.40713233453244e-05
"1.2","NZMS","1",0.94378864637623,0.0305018516966947
"1.2","NZMS","2",0.943788624648853,0.0305018469699231
"1.2","NZMS","4",0.943788618078216,0.030501845538457
"1.2","NZMS","8",0.943788619288336,0.0305018458039166
"1.2","CHIR","1",0.000795798873107965,0.000849329865704106
"1.2","CHIR","2",0.000795799135614844,0.000849330073361543
"1.2","CHIR","4",0.000795799214964113,0.000849330136119689
"1.2","CHIR","8",0.00079579920039624,0.000849330124608338
"1.2","GAMM","1",0.0233046852535121,0.0133848053449319
"1.2","GAMM","2",0.0233046907343256,0.0133848053628038
"1.2","GAMM","4",0.0233046923910446,0.0133848053680678
"1.2","GAMM","8",0.0233046920868674,0.0133848053672583
"1.5","HYOS","1",0.0139217286435496,0.0100149605220939
"1.5","HYOS","2",0.0139217291115996,0.010014960336736
"1.5","HYOS","4",0.0139217288653235,0.010014960434072
"1.5","HYOS","8",0.0139217290105561,0.0100149603768161
"1.5","BAET","1",0.000122712721179472,8.60943748002239e-05
"1.5","BAET","2",0.000122712716867293,8.60943585307754e-05
"1.5","BAET","4",0.000122712719137129,8.60943670915293e-05
"1.5","BAET","8",0.00012271271779806,8.60943620432184e-05
"1.5","NZMS","1",0.957870289818341,0.0255646806793612
"1.5","NZMS","2",0.957870287240969,0.0255646849996163
"1.5","NZMS","4",0.957870288597288,0.0255646827253729
"1.5","NZMS","8",0.957870287797343,0.025564684067212
"1.5","CHIR","1",0.000424809587437586,0.000400914299824246
"1.5","CHIR","2",0.000424809625094418,0.000400914346671971
"1.5","CHIR","4",0.000424809605275953,0.000400914322001494
"1.5","CHIR","8",0.000424809616966081,0.000400914336564338
"1.5","GAMM","1",0.027660459229492,0.0187803702066517
"1.5","GAMM","2",0.0276604613054696,0.0187803758579444
"1.5","GAMM","4",0.0276604602129754,0.0187803728834323
"1.5","GAMM","8",0.0276604608573369,0.0187803746381478
