"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.110338895820308,0.0839637798497059
"1","HYOS","2",0.113229469315076,0.0865123167491134
"1","HYOS","4",0.113984811464537,0.0875206616812411
"1","HYOS","8",0.114023379046103,0.0875998207869958
"1","BAET","1",0.000260173690439439,0.000184339097916793
"1","BAET","2",0.000261401115187347,0.000184606037088437
"1","BAET","4",0.000261929135282697,0.000185260321282291
"1","BAET","8",0.000261941786561952,0.000185253951452653
"1","NZMS","1",0.850876290041969,0.0870497501729321
"1","NZMS","2",0.851686507088719,0.0883565744732931
"1","NZMS","4",0.852548074064341,0.0869470960993262
"1","NZMS","8",0.852607933979768,0.086796583264106
"1","CHIR","1",0.00168715494799374,0.00157946481040989
"1","CHIR","2",0.00170915629511211,0.00161720566450177
"1","CHIR","4",0.00170186211670996,0.00160461093949211
"1","CHIR","8",0.00170232413469562,0.00160561918879443
"1","GAMM","1",0.0368374854992904,0.0136724969507119
"1","GAMM","2",0.0331134661859054,0.00990551193270461
"1","GAMM","4",0.0315033232191291,0.00875217851455407
"1","GAMM","8",0.0314044210528708,0.00870015450749917
"1.1","HYOS","1",0.0512208134211113,0.0400708296801301
"1.1","HYOS","2",0.0513092657255282,0.0401238457116694
"1.1","HYOS","4",0.0513227570774198,0.0401411022494164
"1.1","HYOS","8",0.0511499749654358,0.0401615767751965
"1.1","BAET","1",0.000124625922929027,8.16373251826807e-05
"1.1","BAET","2",0.000124563062806028,8.16960848472989e-05
"1.1","BAET","4",0.000124567278238928,8.16965661736801e-05
"1.1","BAET","8",0.000124458365942649,8.15822615155141e-05
"1.1","NZMS","1",0.922144696656191,0.0442285878841945
"1.1","NZMS","2",0.922990227081284,0.0431465439273033
"1.1","NZMS","4",0.92304267510956,0.043039462679962
"1.1","NZMS","8",0.923093856651938,0.0433908994289142
"1.1","CHIR","1",0.000995941892519105,0.000942322580678014
"1.1","CHIR","2",0.000997467618829036,0.000946126259555331
"1.1","CHIR","4",0.000997479055079874,0.000946151462168949
"1.1","CHIR","8",0.00100048706610517,0.000952639830881034
"1.1","GAMM","1",0.0255139221072499,0.0126966965107471
"1.1","GAMM","2",0.0245784765115525,0.0119054112494934
"1.1","GAMM","4",0.0245125214797015,0.0118707909057397
"1.1","GAMM","8",0.0246312229505779,0.0119081247432853
"1.2","HYOS","1",0.0320009807743059,0.0242307680821341
"1.2","HYOS","2",0.0314967093222392,0.0240756589593856
"1.2","HYOS","4",0.0313775604041372,0.0240550503763121
"1.2","HYOS","8",0.0315486617794021,0.0241297213483948
"1.2","BAET","1",0.000109888722843851,8.40713092626281e-05
"1.2","BAET","2",0.000109791896287621,8.39034525138439e-05
"1.2","BAET","4",0.000109804947090111,8.38973755569568e-05
"1.2","BAET","8",0.000109799926366266,8.38970144249955e-05
"1.2","NZMS","1",0.94378864637623,0.0305018516966947
"1.2","NZMS","2",0.94442987131475,0.0306645883518971
"1.2","NZMS","4",0.944607687100957,0.0305479352431943
"1.2","NZMS","8",0.944557823484818,0.0303609899458777
"1.2","CHIR","1",0.000795798873107965,0.000849329865704106
"1.2","CHIR","2",0.000798532028438067,0.000851519702639218
"1.2","CHIR","4",0.000798648072578766,0.000851668626822506
"1.2","CHIR","8",0.000798634208782541,0.000851687125344274
"1.2","GAMM","1",0.0233046852535121,0.0133848053449319
"1.2","GAMM","2",0.0231650954382847,0.0129538917947161
"1.2","GAMM","4",0.0231062994752367,0.0129320141224043
"1.2","GAMM","8",0.022985080600631,0.0129001256163178
"1.5","HYOS","1",0.0139217286435496,0.0100149605220939
"1.5","HYOS","2",0.0139157918447608,0.0100179741835909
"1.5","HYOS","4",0.0139083498287561,0.0100139754383233
"1.5","HYOS","8",0.0138220006768269,0.00989913106535036
"1.5","BAET","1",0.000122712721179472,8.60943748002239e-05
"1.5","BAET","2",0.000122662645532027,8.60975016377801e-05
"1.5","BAET","4",0.000122433113725648,8.57407210773174e-05
"1.5","BAET","8",0.000122296224896133,8.58908849160539e-05
"1.5","NZMS","1",0.957870289818341,0.0255646806793612
"1.5","NZMS","2",0.958381790520548,0.0248390397897888
"1.5","NZMS","4",0.958753987638864,0.0237927212675145
"1.5","NZMS","8",0.960242932958504,0.022960262449951
"1.5","CHIR","1",0.000424809587437586,0.000400914299824246
"1.5","CHIR","2",0.000425040373423135,0.000402237363725182
"1.5","CHIR","4",0.000425740696406694,0.000404928228895906
"1.5","CHIR","8",0.000420771811201008,0.000397060601730726
"1.5","GAMM","1",0.027660459229492,0.0187803702066517
"1.5","GAMM","2",0.0271547146157361,0.0177013502105402
"1.5","GAMM","4",0.0267894887222471,0.0162452873191495
"1.5","GAMM","8",0.0253919983285722,0.0149072565551933
