"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.110338895819716,0.0839637798492004
"1","HYOS","2",0.106937641053461,0.0842083383461737
"1","HYOS","4",0.103431882095533,0.0820788882044838
"1","HYOS","8",0.0976366206344662,0.0779480843111246
"1","BAET","1",0.000260173690439577,0.000184339097916303
"1","BAET","2",0.000262057723433654,0.000186475028980126
"1","BAET","4",0.000263028700320616,0.000186772787105382
"1","BAET","8",0.000264110628859995,0.000186601170860985
"1","NZMS","1",0.850876290042135,0.0870497501729543
"1","NZMS","2",0.853597445214254,0.0882339396944571
"1","NZMS","4",0.856526101498449,0.086850087703886
"1","NZMS","8",0.862522929863375,0.0828724504028905
"1","CHIR","1",0.00168715494854511,0.00157946481252865
"1","CHIR","2",0.00170254159704903,0.0015990482638525
"1","CHIR","4",0.00172145225822095,0.00161763945983015
"1","CHIR","8",0.00158674765099088,0.00128164879794323
"1","GAMM","1",0.036837485499164,0.0136724969504111
"1","GAMM","2",0.0375003144118019,0.0140962837451482
"1","GAMM","4",0.0380575354474767,0.0146428468006341
"1","GAMM","8",0.0379895912223076,0.0144160320430972
"1.2","HYOS","1",0.0320009807742165,0.0242307680819958
"1.2","HYOS","2",0.0314121165290807,0.0238564089772646
"1.2","HYOS","4",0.0281378240464945,0.0223875421529031
"1.2","HYOS","8",0.0263606574707861,0.0209750727582906
"1.2","BAET","1",0.00010988872284396,8.4071309262658e-05
"1.2","BAET","2",0.000109835898199633,8.40723109326802e-05
"1.2","BAET","4",0.000109991356889341,8.37042861686377e-05
"1.2","BAET","8",0.000110189452531412,8.35692769586435e-05
"1.2","NZMS","1",0.943788646376048,0.0305018516970052
"1.2","NZMS","2",0.944446799030864,0.0300959717280009
"1.2","NZMS","4",0.948008711636313,0.0290180046605294
"1.2","NZMS","8",0.949723015865679,0.0284626236133034
"1.2","CHIR","1",0.000795798873363325,0.000849329866255307
"1.2","CHIR","2",0.000725227211603574,0.000745352039770626
"1.2","CHIR","4",0.000800421699516246,0.000854979736713616
"1.2","CHIR","8",0.000802085464702801,0.000856807584554862
"1.2","GAMM","1",0.0233046852535281,0.0133848053449264
"1.2","GAMM","2",0.0233060213302519,0.0133946866888573
"1.2","GAMM","4",0.0229430512607867,0.0134268276650713
"1.2","GAMM","8",0.0230040517463004,0.0134247484847541
"1.5","HYOS","1",0.0139217286435531,0.010014960522092
"1.5","HYOS","2",0.0138873022670062,0.00997566015070861
"1.5","HYOS","4",0.0138134450460042,0.00987600266950418
"1.5","HYOS","8",0.0136604635342054,0.00970955148435714
"1.5","BAET","1",0.00012271272117943,8.60943748000823e-05
"1.5","BAET","2",0.000122616281428166,8.59714384139232e-05
"1.5","BAET","4",0.00012223019894271,8.52787154917632e-05
"1.5","BAET","8",0.000121777967582596,8.46465565347807e-05
"1.5","NZMS","1",0.957870289818251,0.0255646806793461
"1.5","NZMS","2",0.957900994597359,0.0255535038917465
"1.5","NZMS","4",0.957320556562785,0.0253604967204921
"1.5","NZMS","8",0.957426078900902,0.0252316320490102
"1.5","CHIR","1",0.000424809587507976,0.000400914299877839
"1.5","CHIR","2",0.000424910230488186,0.000401381969580112
"1.5","CHIR","4",0.000425178185335746,0.000402590959071019
"1.5","CHIR","8",0.000425057831237454,0.00040386334123419
"1.5","GAMM","1",0.0276604592295089,0.0187803702067007
"1.5","GAMM","2",0.0276641766237188,0.0188272485056849
"1.5","GAMM","4",0.0283185900069318,0.0188848084841552
"1.5","GAMM","8",0.0283666217660727,0.0190182928225293
