"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.110338895820308,0.0839637798497059
"1","HYOS","2",0.143073103500347,0.0928718941379508
"1","HYOS","4",0.147913720090762,0.0928193445316569
"1","HYOS","8",0.148180027625123,0.0929513793820542
"1","BAET","1",0.000260173690439439,0.000184339097916793
"1","BAET","2",0.000312104999199808,0.000192773319060936
"1","BAET","4",0.000311330227234679,0.000192257940854375
"1","BAET","8",0.000311248077295612,0.000192077375257565
"1","NZMS","1",0.850876290041969,0.0870497501729321
"1","NZMS","2",0.105358287798385,0.0528847244431075
"1","NZMS","4",0.0353650967597724,0.0177702017183833
"1","NZMS","8",0.0149603276135922,0.00747615830012905
"1","CHIR","1",0.00168715494799374,0.00157946481040989
"1","CHIR","2",0.00201100102728733,0.00149901432529413
"1","CHIR","4",0.00197110701719991,0.0014938149429327
"1","CHIR","8",0.0020091424963001,0.00154614378955638
"1","GAMM","1",0.0368374854992904,0.0136724969507119
"1","GAMM","2",0.74924550267478,0.119435513191423
"1","GAMM","4",0.814438745905031,0.0995909088394071
"1","GAMM","8",0.834539254187689,0.095638035622107
"1.1","HYOS","1",0.0512208134211113,0.0400708296801301
"1.1","HYOS","2",0.121732329062221,0.0773351719479565
"1.1","HYOS","4",0.120246217726959,0.0771038716357895
"1.1","HYOS","8",0.120102877607766,0.0771899146077167
"1.1","BAET","1",0.000124625922929027,8.16373251826807e-05
"1.1","BAET","2",0.000198256727491415,8.14176425681147e-05
"1.1","BAET","4",0.000197354907520598,8.09178345054094e-05
"1.1","BAET","8",0.000196968577116366,8.07912060452557e-05
"1.1","NZMS","1",0.922144696656191,0.0442285878841945
"1.1","NZMS","2",0.129580064967087,0.0857244760556829
"1.1","NZMS","4",0.04496481523176,0.0289403764447572
"1.1","NZMS","8",0.0190699374559734,0.01212676078128
"1.1","CHIR","1",0.000995941892519105,0.000942322580678014
"1.1","CHIR","2",0.00145682142411537,0.000968721587006462
"1.1","CHIR","4",0.00148929971821326,0.000987633033111665
"1.1","CHIR","8",0.00149443031740792,0.000997724925613047
"1.1","GAMM","1",0.0255139221072499,0.0126966965107471
"1.1","GAMM","2",0.747032527819086,0.136702550274147
"1.1","GAMM","4",0.833102312415547,0.0932029162472849
"1.1","GAMM","8",0.859135786041736,0.0832675517934586
"1.2","HYOS","1",0.0320009807743059,0.0242307680821341
"1.2","HYOS","2",0.0969146807244811,0.0600123727795664
"1.2","HYOS","4",0.0996833967285158,0.061230757867557
"1.2","HYOS","8",0.102863841652308,0.0643013948913519
"1.2","BAET","1",0.000109888722843851,8.40713092626281e-05
"1.2","BAET","2",0.000189084181667761,8.90898389087496e-05
"1.2","BAET","4",0.000187959603939705,8.64285275393041e-05
"1.2","BAET","8",0.000187818854687842,8.57180735402543e-05
"1.2","NZMS","1",0.94378864637623,0.0305018516966947
"1.2","NZMS","2",0.246053029100295,0.185105489386149
"1.2","NZMS","4",0.0905544688230086,0.0694049039101463
"1.2","NZMS","8",0.0414207205886259,0.0320667365999475
"1.2","CHIR","1",0.000795798873107965,0.000849329865704106
"1.2","CHIR","2",0.00149854590422452,0.001048150037875
"1.2","CHIR","4",0.00141618006090845,0.00105565342639508
"1.2","CHIR","8",0.00142049485543625,0.00105138035849531
"1.2","GAMM","1",0.0233046852535121,0.0133848053449319
"1.2","GAMM","2",0.655344660089331,0.215860852078996
"1.2","GAMM","4",0.808157994783627,0.110099812597351
"1.2","GAMM","8",0.854107124048942,0.0833549405136034
"1.5","HYOS","1",0.0139217286435496,0.0100149605220939
"1.5","HYOS","2",0.0246392467280754,0.0192475479206679
"1.5","HYOS","4",0.0313269276311596,0.0354491394224069
"1.5","HYOS","8",0.0301007888089118,0.029100404061239
"1.5","BAET","1",0.000122712721179472,8.60943748002239e-05
"1.5","BAET","2",0.000179600866782645,9.60142537399301e-05
"1.5","BAET","4",0.000208360925752001,0.000105756760659385
"1.5","BAET","8",0.000177617220312797,0.00012585084744832
"1.5","NZMS","1",0.957870289818341,0.0255646806793612
"1.5","NZMS","2",0.773159507800147,0.167348290626969
"1.5","NZMS","4",0.443639892097552,0.236672976895689
"1.5","NZMS","8",0.111059134253732,0.127255348164042
"1.5","CHIR","1",0.000424809587437586,0.000400914299824246
"1.5","CHIR","2",0.025134113867133,0.0423727773190247
"1.5","CHIR","4",0.167747438262147,0.238871021097479
"1.5","CHIR","8",0.766181515420668,0.193645264986025
"1.5","GAMM","1",0.027660459229492,0.0187803702066517
"1.5","GAMM","2",0.176887530737862,0.143769383102532
"1.5","GAMM","4",0.35707738108339,0.198602156410805
"1.5","GAMM","8",0.0924809442963757,0.0898983576981654
