"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.122717581832569,0.07477343102966
"1","HYOS","2",0.239279012402555,0.104875161267851
"1","HYOS","4",0.310850837960998,0.139422514438428
"1","HYOS","8",0.385863390823714,0.17629673161802
"1","BAET","1",0.000277096439183904,0.00017459334529207
"1","BAET","2",0.000427634169074324,0.00022542434979846
"1","BAET","4",0.00057221720957776,0.000311410807425903
"1","BAET","8",0.000826468671390602,0.000490297958312968
"1","NZMS","1",0.83791297060913,0.0760263513843854
"1","NZMS","2",0.459942933286831,0.114170838484126
"1","NZMS","4",0.355641861132062,0.0852937927218436
"1","NZMS","8",0.284471392068536,0.0637485158881948
"1","CHIR","1",0.00175680731484823,0.0013457600635849
"1","CHIR","2",0.0578198103136707,0.0691157254945163
"1","CHIR","4",0.111515281868684,0.100660932186663
"1","CHIR","8",0.130452748225031,0.0967462571065821
"1","GAMM","1",0.0373355438042692,0.017190812154451
"1","GAMM","2",0.242530609827869,0.11470282617665
"1","GAMM","4",0.221419801828679,0.0744390416114544
"1","GAMM","8",0.198386000211329,0.0726280024628893
"1.1","HYOS","1",0.0553122827055578,0.0356818418143505
"1.1","HYOS","2",0.141067324253241,0.0622482168416224
"1.1","HYOS","4",0.207372647966639,0.0891536827703912
"1.1","HYOS","8",0.280060229089019,0.127260523017869
"1.1","BAET","1",0.000130088228948933,7.46280498901163e-05
"1.1","BAET","2",0.000236246528052813,9.35978708483306e-05
"1.1","BAET","4",0.00032407494809529,0.00012196147194673
"1.1","BAET","8",0.000481668862635704,0.00019828424916439
"1.1","NZMS","1",0.91997802944765,0.0382607404930024
"1.1","NZMS","2",0.631938889093795,0.178512654858372
"1.1","NZMS","4",0.520194726268054,0.164161589226365
"1.1","NZMS","8",0.419091992220478,0.123784052390563
"1.1","CHIR","1",0.000960166372738452,0.000698361813336589
"1.1","CHIR","2",0.0454980449518283,0.0780716414648074
"1.1","CHIR","4",0.0989275206803128,0.109970397270015
"1.1","CHIR","8",0.13302517091372,0.117938923489899
"1.1","GAMM","1",0.023619433245105,0.0119536010514479
"1.1","GAMM","2",0.181259495173084,0.134050239698974
"1.1","GAMM","4",0.173181030136898,0.0979239658049962
"1.1","GAMM","8",0.167340938914147,0.082637989556751
"1.2","HYOS","1",0.0339014444074453,0.021227802278963
"1.2","HYOS","2",0.0930310292129659,0.0422326856339727
"1.2","HYOS","4",0.14608979292858,0.0628358184148325
"1.2","HYOS","8",0.210817818303161,0.0939080087629634
"1.2","BAET","1",0.000118862323428656,7.79688466069813e-05
"1.2","BAET","2",0.000228495282831146,9.89570791095478e-05
"1.2","BAET","4",0.000311846276534199,0.000128415437475248
"1.2","BAET","8",0.00046123280315473,0.000201588166399745
"1.2","NZMS","1",0.943610412918191,0.0274302337944375
"1.2","NZMS","2",0.66074919624997,0.215508803161403
"1.2","NZMS","4",0.566841441711108,0.209470152282586
"1.2","NZMS","8",0.474320662064031,0.171875195080745
"1.2","CHIR","1",0.000743911538509564,0.000758501774566077
"1.2","CHIR","2",0.0755656268466412,0.131777362619759
"1.2","CHIR","4",0.128512506191225,0.154109771744642
"1.2","CHIR","8",0.156800145140231,0.151096682576276
"1.2","GAMM","1",0.0216253688124254,0.0129105583935037
"1.2","GAMM","2",0.170425652407592,0.134194426992314
"1.2","GAMM","4",0.158244412892553,0.0964558520300267
"1.2","GAMM","8",0.157600141689422,0.0827746775744391
"1.5","HYOS","1",0.0138576259585197,0.00941935825647261
"1.5","HYOS","2",0.0524987204189712,0.0243674127378514
"1.5","HYOS","4",0.087203851500741,0.0332004859503161
"1.5","HYOS","8",0.138310252419361,0.050380217917213
"1.5","BAET","1",9.04882863023022e-05,8.16995659806857e-05
"1.5","BAET","2",0.000165703741576939,0.000117291753736182
"1.5","BAET","4",0.00022673604435489,0.000152732524968524
"1.5","BAET","8",0.000345416461682648,0.000231598884162166
"1.5","NZMS","1",0.963914531632581,0.0225219175209691
"1.5","NZMS","2",0.697815990514905,0.229652836147167
"1.5","NZMS","4",0.624164454755931,0.239292565319206
"1.5","NZMS","8",0.531952285187745,0.219614414563489
"1.5","CHIR","1",0.000401747122814992,0.000375237257251812
"1.5","CHIR","2",0.0856966864847664,0.124045791862809
"1.5","CHIR","4",0.131662085523006,0.151014831165685
"1.5","CHIR","8",0.167959669674297,0.162156265063204
"1.5","GAMM","1",0.0217356069997816,0.0143529517714285
"1.5","GAMM","2",0.163822898839781,0.133729081282348
"1.5","GAMM","4",0.156742872175967,0.104591470173027
"1.5","GAMM","8",0.161432376256914,0.0879140952802509
