"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.122717581832569,0.07477343102966
"1","HYOS","2",0.122716822493611,0.0747699101744172
"1","HYOS","4",0.122717932976289,0.0747747627828552
"1","HYOS","8",0.122719503692651,0.0747800960096213
"1","BAET","1",0.000277096439183904,0.00017459334529207
"1","BAET","2",0.000277093163101099,0.000174589900008503
"1","BAET","4",0.000277097617402256,0.00017459456419488
"1","BAET","8",0.00027710245220884,0.000174599421585655
"1","NZMS","1",0.83791297060913,0.0760263513843854
"1","NZMS","2",0.837913894510508,0.0760253934793148
"1","NZMS","4",0.837912652381188,0.0760265611919221
"1","NZMS","8",0.837911157623079,0.0760272999474848
"1","CHIR","1",0.00175680731484823,0.0013457600635849
"1","CHIR","2",0.00175716924305861,0.00134663767725995
"1","CHIR","4",0.00175665992524878,0.00134540546363471
"1","CHIR","8",0.00175607220895669,0.00134398881099985
"1","GAMM","1",0.0373355438042692,0.017190812154451
"1","GAMM","2",0.0373350205897209,0.0171897087823347
"1","GAMM","4",0.0373356570998712,0.0171911726704671
"1","GAMM","8",0.037336164023105,0.0171927549500347
"1.1","HYOS","1",0.0553122827055578,0.0356818418143505
"1.1","HYOS","2",0.0553122818716116,0.0356818419024377
"1.1","HYOS","4",0.0553122822573465,0.0356818418799259
"1.1","HYOS","8",0.0553122815165718,0.0356818419883095
"1.1","BAET","1",0.000130088228948933,7.46280498901163e-05
"1.1","BAET","2",0.000130088226981177,7.46280497974947e-05
"1.1","BAET","4",0.000130088228348655,7.46280498486757e-05
"1.1","BAET","8",0.000130088227356731,7.46280497802062e-05
"1.1","NZMS","1",0.91997802944765,0.0382607404930024
"1.1","NZMS","2",0.919978030645459,0.0382607407554134
"1.1","NZMS","4",0.919978030007109,0.0382607406525199
"1.1","NZMS","8",0.919978030931713,0.0382607409161689
"1.1","CHIR","1",0.000960166372738452,0.000698361813336589
"1.1","CHIR","2",0.000960166355359734,0.000698361803376827
"1.1","CHIR","4",0.000960166367426711,0.000698361810162828
"1.1","CHIR","8",0.000960166358649395,0.000698361804918495
"1.1","GAMM","1",0.023619433245105,0.0119536010514479
"1.1","GAMM","2",0.0236194329005888,0.0119536010721495
"1.1","GAMM","4",0.0236194331397694,0.0119536010551499
"1.1","GAMM","8",0.0236194329657089,0.0119536010612692
"1.2","HYOS","1",0.0339014444074453,0.021227802278963
"1.2","HYOS","2",0.0339014673092101,0.0212277960774444
"1.2","HYOS","4",0.0339014587463264,0.0212277984196065
"1.2","HYOS","8",0.0339014550542446,0.0212277995389664
"1.2","BAET","1",0.000118862323428656,7.79688466069813e-05
"1.2","BAET","2",0.000118862363065422,7.79688565232999e-05
"1.2","BAET","4",0.000118862348329574,7.7968852808003e-05
"1.2","BAET","8",0.000118862343277489,7.79688513254226e-05
"1.2","NZMS","1",0.943610412918191,0.0274302337944375
"1.2","NZMS","2",0.943610381348263,0.0274302352979268
"1.2","NZMS","4",0.943610393920591,0.0274302355482142
"1.2","NZMS","8",0.943610405509982,0.0274302422735704
"1.2","CHIR","1",0.000743911538509564,0.000758501774566077
"1.2","CHIR","2",0.000743911764482733,0.000758501887742164
"1.2","CHIR","4",0.000743911680517535,0.000758501845544847
"1.2","CHIR","8",0.000743911651725093,0.000758501829633973
"1.2","GAMM","1",0.0216253688124254,0.0129105583935037
"1.2","GAMM","2",0.0216253772149784,0.0129105549197589
"1.2","GAMM","4",0.0216253733042353,0.0129105570640033
"1.2","GAMM","8",0.0216253654407713,0.0129105648264568
"1.5","HYOS","1",0.0138576259585197,0.00941935825647261
"1.5","HYOS","2",0.0138577363341691,0.00941956557412368
"1.5","HYOS","4",0.0138577363437063,0.00941956557676975
"1.5","HYOS","8",0.0138575358695447,0.00941915844791065
"1.5","BAET","1",9.04882863023022e-05,8.16995659806857e-05
"1.5","BAET","2",9.04883534524644e-05,8.16995332259861e-05
"1.5","BAET","4",9.04883535176926e-05,8.16995332655276e-05
"1.5","BAET","8",9.04882462500901e-05,8.16996112557809e-05
"1.5","NZMS","1",0.963914531632581,0.0225219175209691
"1.5","NZMS","2",0.963914516657059,0.0225220996480328
"1.5","NZMS","4",0.963914516633258,0.0225220996508597
"1.5","NZMS","8",0.963914659579031,0.0225217308092383
"1.5","CHIR","1",0.000401747122814992,0.000375237257251812
"1.5","CHIR","2",0.000401747434123558,0.000375237498284078
"1.5","CHIR","4",0.000401747434376444,0.000375237498510182
"1.5","CHIR","8",0.000401747040985301,0.000375237379909871
"1.5","GAMM","1",0.0217356069997816,0.0143529517714285
"1.5","GAMM","2",0.021735511221196,0.014352914260841
"1.5","GAMM","4",0.0217355112351419,0.0143529142609771
"1.5","GAMM","8",0.0217355692641894,0.0143529568055215
