"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.122717581832569,0.07477343102966
"1","HYOS","2",0.12268357683257,0.074747059815762
"1","HYOS","4",0.122613049805418,0.0746860797095252
"1","HYOS","8",0.122623911561853,0.074735542492006
"1","BAET","1",0.000277096439183904,0.00017459334529207
"1","BAET","2",0.000277092755682363,0.000174576816882822
"1","BAET","4",0.000277151642782107,0.000174555288270774
"1","BAET","8",0.000277215398540678,0.000174626139629914
"1","NZMS","1",0.83791297060913,0.0760263513843854
"1","NZMS","2",0.837934019533465,0.0760155655646761
"1","NZMS","4",0.837918258261702,0.0759929383415609
"1","NZMS","8",0.837910332666752,0.0759988920764581
"1","CHIR","1",0.00175680731484823,0.0013457600635849
"1","CHIR","2",0.00177407721158812,0.00138353534983802
"1","CHIR","4",0.00184692421161055,0.00152825576020635
"1","CHIR","8",0.00182936433663283,0.0015017120754016
"1","GAMM","1",0.0373355438042692,0.017190812154451
"1","GAMM","2",0.0373312336666944,0.0171816214132079
"1","GAMM","4",0.0373446160784868,0.0172043940923972
"1","GAMM","8",0.0373591760362215,0.0172360372226815
"1.1","HYOS","1",0.0553122827055578,0.0356818418143505
"1.1","HYOS","2",0.0553123718691557,0.0356819821944327
"1.1","HYOS","4",0.0552745199868119,0.0356230128303239
"1.1","HYOS","8",0.05527456737787,0.0356232668857931
"1.1","BAET","1",0.000130088228948933,7.46280498901163e-05
"1.1","BAET","2",0.000130088068851851,7.46282124088818e-05
"1.1","BAET","4",0.000130125183650283,7.46222780785098e-05
"1.1","BAET","8",0.000130124781040787,7.46216007762273e-05
"1.1","NZMS","1",0.91997802944765,0.0382607404930024
"1.1","NZMS","2",0.919978785625306,0.0382604680505709
"1.1","NZMS","4",0.91992738459049,0.0383485832610986
"1.1","NZMS","8",0.919926402538777,0.0383478559377721
"1.1","CHIR","1",0.000960166372738452,0.000698361813336589
"1.1","CHIR","2",0.000959339349448134,0.00069741781644453
"1.1","CHIR","4",0.00104375957128797,0.000816617716581135
"1.1","CHIR","8",0.00104474756761327,0.000816288571679034
"1.1","GAMM","1",0.023619433245105,0.0119536010514479
"1.1","GAMM","2",0.0236194150872384,0.0119536412784845
"1.1","GAMM","4",0.0236242106677599,0.0119505688247219
"1.1","GAMM","8",0.0236241577346995,0.0119505091682896
"1.2","HYOS","1",0.0339014444074453,0.021227802278963
"1.2","HYOS","2",0.0339014807708665,0.0212278294601899
"1.2","HYOS","4",0.033901482840395,0.0212279038427669
"1.2","HYOS","8",0.0339015107386391,0.0212280456375717
"1.2","BAET","1",0.000118862323428656,7.79688466069813e-05
"1.2","BAET","2",0.000118862362238755,7.79688574798345e-05
"1.2","BAET","4",0.000118862314970432,7.79688416381424e-05
"1.2","BAET","8",0.000118862271084681,7.7968830991844e-05
"1.2","NZMS","1",0.943610412918191,0.0274302337944375
"1.2","NZMS","2",0.943610445588976,0.0274300465342086
"1.2","NZMS","4",0.943610592963824,0.0274297053284052
"1.2","NZMS","8",0.943610912377439,0.027429005319076
"1.2","CHIR","1",0.000743911538509564,0.000758501774566077
"1.2","CHIR","2",0.000743822907338174,0.000758335346785696
"1.2","CHIR","4",0.000743685019336552,0.000757987113910561
"1.2","CHIR","8",0.000743349094613495,0.000757317106885096
"1.2","GAMM","1",0.0216253688124254,0.0129105583935037
"1.2","GAMM","2",0.0216253883705801,0.0129105464525307
"1.2","GAMM","4",0.0216253768614742,0.0129105564673864
"1.2","GAMM","8",0.0216253655182241,0.0129105758703222
"1.5","HYOS","1",0.0138576259585197,0.00941935825647261
"1.5","HYOS","2",0.0138577201908921,0.00941955850388623
"1.5","HYOS","4",0.0138579320560595,0.00941966455616523
"1.5","HYOS","8",0.0138577202471625,0.00941924612614791
"1.5","BAET","1",9.04882863023022e-05,8.16995659806857e-05
"1.5","BAET","2",9.04883065051388e-05,8.16995286482692e-05
"1.5","BAET","4",9.04890311138265e-05,8.16995518585575e-05
"1.5","BAET","8",9.0488917174457e-05,8.16996385613878e-05
"1.5","NZMS","1",0.963914531632581,0.0225219175209691
"1.5","NZMS","2",0.963914643389757,0.0225219616415499
"1.5","NZMS","4",0.963912689514421,0.0225242731340038
"1.5","NZMS","8",0.963912959559412,0.0225237801839194
"1.5","CHIR","1",0.000401747122814992,0.000375237257251812
"1.5","CHIR","2",0.000401647736633634,0.000375019946206854
"1.5","CHIR","4",0.000403216548026608,0.000378561247051627
"1.5","CHIR","8",0.000403099833145116,0.000378448010270145
"1.5","GAMM","1",0.0217356069997816,0.0143529517714285
"1.5","GAMM","2",0.0217355003762123,0.014352917404282
"1.5","GAMM","4",0.0217356728503795,0.0143528533570723
"1.5","GAMM","8",0.0217357314431057,0.014352898595817
