"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.122717581832569,0.07477343102966
"1","HYOS","2",0.12666754103349,0.0776139318120073
"1","HYOS","4",0.125754253754836,0.0772969233324846
"1","HYOS","8",0.126088728328208,0.0775754424399395
"1","BAET","1",0.000277096439183904,0.00017459334529207
"1","BAET","2",0.000279190723795133,0.000174943155625413
"1","BAET","4",0.000277738141043757,0.000175922397451449
"1","BAET","8",0.000278045037264553,0.000175957582794958
"1","NZMS","1",0.83791297060913,0.0760263513843854
"1","NZMS","2",0.838182641323536,0.0770095572378796
"1","NZMS","4",0.841010320112434,0.0765222726111633
"1","NZMS","8",0.841078456414774,0.0761832150493875
"1","CHIR","1",0.00175680731484823,0.0013457600635849
"1","CHIR","2",0.00187130405085228,0.00158921445529185
"1","CHIR","4",0.00169980010076107,0.00122448401035393
"1","CHIR","8",0.00170245789976556,0.00122717255051961
"1","GAMM","1",0.0373355438042692,0.017190812154451
"1","GAMM","2",0.0329993228683267,0.0111215427285266
"1","GAMM","4",0.0312578878909252,0.00900475731235647
"1","GAMM","8",0.0308523123199871,0.00873566054183337
"1.1","HYOS","1",0.0553122827055578,0.0356818418143505
"1.1","HYOS","2",0.0550043275281411,0.0354540295051815
"1.1","HYOS","4",0.0550146158753498,0.0354794378037659
"1.1","HYOS","8",0.0551631939502206,0.0355360920115842
"1.1","BAET","1",0.000130088228948933,7.46280498901163e-05
"1.1","BAET","2",0.000129992650164553,7.47166115096241e-05
"1.1","BAET","4",0.000129994420817812,7.47138722058183e-05
"1.1","BAET","8",0.000130096772416737,7.46178954389576e-05
"1.1","NZMS","1",0.91997802944765,0.0382607404930024
"1.1","NZMS","2",0.92036013493708,0.0382047082807221
"1.1","NZMS","4",0.92040705431862,0.0380862714464857
"1.1","NZMS","8",0.920164918333804,0.0382475343097344
"1.1","CHIR","1",0.000960166372738452,0.000698361813336589
"1.1","CHIR","2",0.00100090549245252,0.000760004235237176
"1.1","CHIR","4",0.00100094164799733,0.000760041831220121
"1.1","CHIR","8",0.00104377221509905,0.00081637519593757
"1.1","GAMM","1",0.023619433245105,0.0119536010514479
"1.1","GAMM","2",0.0235046393921619,0.0116725288125027
"1.1","GAMM","4",0.0234473937372152,0.0116448045308478
"1.1","GAMM","8",0.0234980187284595,0.0117493048648826
"1.2","HYOS","1",0.0339014444074453,0.021227802278963
"1.2","HYOS","2",0.0339686947120542,0.0212795207722001
"1.2","HYOS","4",0.0339722116778132,0.0212923661983369
"1.2","HYOS","8",0.033981807767649,0.0213206288419068
"1.2","BAET","1",0.000118862323428656,7.79688466069813e-05
"1.2","BAET","2",0.000118874999345319,7.80060915336288e-05
"1.2","BAET","4",0.000118875143347512,7.80043660245217e-05
"1.2","BAET","8",0.000118876859134054,7.79998397568598e-05
"1.2","NZMS","1",0.943610412918191,0.0274302337944375
"1.2","NZMS","2",0.94393853071463,0.0271690613229736
"1.2","NZMS","4",0.943981043977011,0.0270779327745899
"1.2","NZMS","8",0.944062210991512,0.0269004736586113
"1.2","CHIR","1",0.000743911538509564,0.000758501774566077
"1.2","CHIR","2",0.000740198980392639,0.000749640336107837
"1.2","CHIR","4",0.000740204548373001,0.00074965291253605
"1.2","CHIR","8",0.000740339424859597,0.00074994437304804
"1.2","GAMM","1",0.0216253688124254,0.0129105583935037
"1.2","GAMM","2",0.0212337005935774,0.0123544936811223
"1.2","GAMM","4",0.0211876646534557,0.012338924169867
"1.2","GAMM","8",0.0210967649568451,0.0123123763415348
"1.5","HYOS","1",0.0138576259585197,0.00941935825647261
"1.5","HYOS","2",0.0137148475285119,0.00936629028011128
"1.5","HYOS","4",0.0152388138385551,0.00942982921712726
"1.5","HYOS","8",0.0152385995791846,0.00943383794105542
"1.5","BAET","1",9.04882863023022e-05,8.16995659806857e-05
"1.5","BAET","2",9.04823186948322e-05,8.18438008492821e-05
"1.5","BAET","4",9.04540749406221e-05,8.16755983306235e-05
"1.5","BAET","8",9.04543827803413e-05,8.16728833975403e-05
"1.5","NZMS","1",0.963914531632581,0.0225219175209691
"1.5","NZMS","2",0.964306252648216,0.0219234443995019
"1.5","NZMS","4",0.963204415669863,0.0211953236924728
"1.5","NZMS","8",0.963271992290526,0.0211666773411534
"1.5","CHIR","1",0.000401747122814992,0.000375237257251812
"1.5","CHIR","2",0.000402619131224607,0.000377857903221793
"1.5","CHIR","4",0.000403349295093174,0.000378812431964951
"1.5","CHIR","8",0.000403369152968194,0.000378841984778489
"1.5","GAMM","1",0.0217356069997816,0.0143529517714285
"1.5","GAMM","2",0.0214857983733524,0.0138609304718177
"1.5","GAMM","4",0.0210629671215483,0.0138770936674223
"1.5","GAMM","8",0.0209955845945405,0.013883463893629
