"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.122717581832569,0.07477343102966
"1","HYOS","2",0.177811276870737,0.0968906702291085
"1","HYOS","4",0.177887390332869,0.0977150187163884
"1","HYOS","8",0.178056411000515,0.0979561647748343
"1","BAET","1",0.000277096439183904,0.00017459334529207
"1","BAET","2",0.000342681923879554,0.000173243959016724
"1","BAET","4",0.00034248385524137,0.000172949491301788
"1","BAET","8",0.000342418195511662,0.000172827479809299
"1","NZMS","1",0.83791297060913,0.0760263513843854
"1","NZMS","2",0.0966510882399069,0.04312487650285
"1","NZMS","4",0.0339167915675015,0.0151920300364353
"1","NZMS","8",0.0145689472602093,0.00652944710404522
"1","CHIR","1",0.00175680731484823,0.0013457600635849
"1","CHIR","2",0.00203853414378392,0.001060096681866
"1","CHIR","4",0.00217278731321586,0.00138086491936551
"1","CHIR","8",0.00217927759808862,0.00138073474338746
"1","GAMM","1",0.0373355438042692,0.017190812154451
"1","GAMM","2",0.723156418821693,0.122580797925188
"1","GAMM","4",0.785680546931172,0.105261992974974
"1","GAMM","8",0.804852945945676,0.100978567800779
"1.1","HYOS","1",0.0553122827055578,0.0356818418143505
"1.1","HYOS","2",0.127272779122434,0.0771954902421257
"1.1","HYOS","4",0.135703070107753,0.079398509459203
"1.1","HYOS","8",0.143333188326392,0.0794711321475807
"1.1","BAET","1",0.000130088228948933,7.46280498901163e-05
"1.1","BAET","2",0.000223462780063303,6.68290409409597e-05
"1.1","BAET","4",0.000223799841519181,6.70892148866183e-05
"1.1","BAET","8",0.000223665681076603,6.73131692007229e-05
"1.1","NZMS","1",0.91997802944765,0.0382607404930024
"1.1","NZMS","2",0.115051397178508,0.0665179061184227
"1.1","NZMS","4",0.0417084313149468,0.0234044072505034
"1.1","NZMS","8",0.0176351028109011,0.0100632734115161
"1.1","CHIR","1",0.000960166372738452,0.000698361813336589
"1.1","CHIR","2",0.0017146145340849,0.000897775974364526
"1.1","CHIR","4",0.00171002270670785,0.000886151731619414
"1.1","CHIR","8",0.00172430843060105,0.000899782378542095
"1.1","GAMM","1",0.023619433245105,0.0119536010514479
"1.1","GAMM","2",0.75573774638491,0.128500082206285
"1.1","GAMM","4",0.820654676029073,0.0965917756633473
"1.1","GAMM","8",0.837083734751029,0.087009002652092
"1.2","HYOS","1",0.0339014444074453,0.021227802278963
"1.2","HYOS","2",0.110118152461155,0.0617307689039193
"1.2","HYOS","4",0.111087516803649,0.0630820658700167
"1.2","HYOS","8",0.111756878731196,0.0625523173566884
"1.2","BAET","1",0.000118862323428656,7.79688466069813e-05
"1.2","BAET","2",0.000225678346000992,6.68225627234752e-05
"1.2","BAET","4",0.00022606785908499,6.65481450160397e-05
"1.2","BAET","8",0.000226063907598199,6.66829663076675e-05
"1.2","NZMS","1",0.943610412918191,0.0274302337944375
"1.2","NZMS","2",0.158694145776021,0.104426719514551
"1.2","NZMS","4",0.0517559052440888,0.0326738129174323
"1.2","NZMS","8",0.0227069128911845,0.0148322307835406
"1.2","CHIR","1",0.000743911538509564,0.000758501774566077
"1.2","CHIR","2",0.00126849165340031,0.000843613352542475
"1.2","CHIR","4",0.00136619896115503,0.00098848421177931
"1.2","CHIR","8",0.00131279042357752,0.000878803609574445
"1.2","GAMM","1",0.0216253688124254,0.0129105583935037
"1.2","GAMM","2",0.729693531763423,0.154738638024782
"1.2","GAMM","4",0.835564311132022,0.0895291469284741
"1.2","GAMM","8",0.863997354046444,0.0740960609434928
"1.5","HYOS","1",0.0138576259585197,0.00941935825647261
"1.5","HYOS","2",0.0650612266649688,0.0361130996488559
"1.5","HYOS","4",0.0627008259819629,0.0342141957031406
"1.5","HYOS","8",0.067784526709131,0.0378501949139135
"1.5","BAET","1",9.04882863023022e-05,8.16995659806857e-05
"1.5","BAET","2",0.000168423975337632,9.37279583357168e-05
"1.5","BAET","4",0.000166516522927669,9.26144427439439e-05
"1.5","BAET","8",0.00016642447372243,9.24852841289381e-05
"1.5","NZMS","1",0.963914531632581,0.0225219175209691
"1.5","NZMS","2",0.276737623176351,0.225501864964094
"1.5","NZMS","4",0.125668214697929,0.107502164058469
"1.5","NZMS","8",0.0710588058851652,0.0618636324368044
"1.5","CHIR","1",0.000401747122814992,0.000375237257251812
"1.5","CHIR","2",0.00109576560086204,0.0009709964554178
"1.5","CHIR","4",0.00087291103150092,0.000494836216066558
"1.5","CHIR","8",0.000887100321738689,0.000498676107509598
"1.5","GAMM","1",0.0217356069997816,0.0143529517714285
"1.5","GAMM","2",0.65693696058248,0.252712568014983
"1.5","GAMM","4",0.81059153176568,0.133784714672258
"1.5","GAMM","8",0.860103142610243,0.0942222705371197
