"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","0.5",0.057884147062083,0.0356430175645406
"1","HYOS","1",0.0578889651996583,0.0356439903370271
"1","HYOS","2",0.0578819832236297,0.0356454463103854
"1","HYOS","4",0.0578767114456231,0.0356455835812989
"1","BAET","0.5",0.000334128369669703,0.000196655612894497
"1","BAET","1",0.000334125076424745,0.000196650574591333
"1","BAET","2",0.0003341338425875,0.000196661143838731
"1","BAET","4",0.000334139433142754,0.000196669366528772
"1","NZMS","0.5",0.896718383697809,0.0405794821829346
"1","NZMS","1",0.896718477883714,0.040576999861645
"1","NZMS","2",0.896711450815372,0.0405897766188053
"1","NZMS","4",0.896708730610949,0.0405962479953558
"1","CHIR","0.5",0.00199991694102905,0.00141429395646509
"1","CHIR","1",0.00199983193218822,0.00141425475227528
"1","CHIR","2",0.00200005384744639,0.00141432577784209
"1","CHIR","4",0.00200017839754328,0.00141438157748138
"1","GAMM","0.5",0.0430634239294097,0.00758875825549268
"1","GAMM","1",0.0430585999080145,0.00758303170165851
"1","GAMM","2",0.0430723782709645,0.00759828080428497
"1","GAMM","4",0.0430802401127417,0.00760675626690412
"1.1","HYOS","0.5",0.037138628395852,0.0179009333327036
"1.1","HYOS","1",0.03713951950993,0.017902398227019
"1.1","HYOS","2",0.0371382376477545,0.0179004027097854
"1.1","HYOS","4",0.0371386928790238,0.0179014353991376
"1.1","BAET","0.5",0.00020565656202817,7.03053587697826e-05
"1.1","BAET","1",0.000205654110551725,7.02999326056399e-05
"1.1","BAET","2",0.000205658486623952,7.03088172130533e-05
"1.1","BAET","4",0.000205655455544493,7.03017855124862e-05
"1.1","NZMS","0.5",0.922490025798913,0.0184997404371679
"1.1","NZMS","1",0.922489103177947,0.018502274714777
"1.1","NZMS","2",0.922490473002764,0.0184983113762437
"1.1","NZMS","4",0.922489987420112,0.0185005783331972
"1.1","CHIR","0.5",0.001480729402228,0.00100702193604889
"1.1","CHIR","1",0.00148074040814871,0.00100704172698121
"1.1","CHIR","2",0.00148071739353318,0.00100699935613136
"1.1","CHIR","4",0.00148073994675354,0.00100703230621652
"1.1","GAMM","0.5",0.0386849598409792,0.00451496215679395
"1.1","GAMM","1",0.0386849827934228,0.0045151705816917
"1.1","GAMM","2",0.0386849134693242,0.00451470889674738
"1.1","GAMM","4",0.0386849242985663,0.00451496776818228
"1.2","HYOS","0.5",0.0313806932469244,0.0156956072561224
"1.2","HYOS","1",0.0313774173750951,0.0156934441675876
"1.2","HYOS","2",0.0313827440405021,0.0156961771709307
"1.2","HYOS","4",0.0313948177406675,0.0157021780063318
"1.2","BAET","0.5",0.000193725677657148,7.76577577246933e-05
"1.2","BAET","1",0.000193719629871168,7.7644538773182e-05
"1.2","BAET","2",0.00019372311760855,7.76543314806011e-05
"1.2","BAET","4",0.00019372235742845,7.76515508358655e-05
"1.2","NZMS","0.5",0.928521616129592,0.0169991176126541
"1.2","NZMS","1",0.928527309959338,0.0169946092749417
"1.2","NZMS","2",0.928519180861854,0.0170008993654892
"1.2","NZMS","4",0.928503252577172,0.0170125247198102
"1.2","CHIR","0.5",0.00125914192079508,0.000941494442288473
"1.2","CHIR","1",0.00125903990395555,0.000941466708202319
"1.2","CHIR","2",0.00125913437263341,0.000941497158803999
"1.2","CHIR","4",0.00125924190513776,0.000941535148750347
"1.2","GAMM","0.5",0.0386448230250317,0.00482619685225756
"1.2","GAMM","1",0.0386425131317399,0.00482659026615077
"1.2","GAMM","2",0.0386452176074017,0.00482641373692974
"1.2","GAMM","4",0.0386489654195939,0.00482624576667695
"1.5","HYOS","0.5",0.0189535563523297,0.00722939098021565
"1.5","HYOS","1",0.0189532156580482,0.00722882435722648
"1.5","HYOS","2",0.0189523740555869,0.00722640173005814
"1.5","HYOS","4",0.0189541055222744,0.00723077351815728
"1.5","BAET","0.5",0.000164874440100736,6.33809283005325e-05
"1.5","BAET","1",0.000164873653443746,6.33785451042393e-05
"1.5","BAET","2",0.000164873777754555,6.33715711605685e-05
"1.5","BAET","4",0.000164875118526548,6.33848208464946e-05
"1.5","NZMS","0.5",0.942676009984202,0.0121903725823491
"1.5","NZMS","1",0.942676719242,0.0121877608923142
"1.5","NZMS","2",0.942678286892134,0.0121784282814053
"1.5","NZMS","4",0.942674468639458,0.0121954772728056
"1.5","CHIR","0.5",0.000536354252324475,0.000365309233730858
"1.5","CHIR","1",0.000536343595511637,0.000365281642336864
"1.5","CHIR","2",0.000536264521385241,0.000365205521178501
"1.5","CHIR","4",0.000536418214552079,0.000365347521581025
"1.5","GAMM","0.5",0.0376692049710431,0.0134166728384954
"1.5","GAMM","1",0.0376688478509961,0.0134155298243031
"1.5","GAMM","2",0.0376682007531395,0.0134113976379218
"1.5","GAMM","4",0.0376701325051893,0.0134192595386397
