"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.057884147062083,0.0356430175645406
"1","HYOS","2",0.0578422199975551,0.0356848224858606
"1","HYOS","4",0.0579180683176178,0.0356801526032237
"1","HYOS","8",0.0579044946296578,0.0357830867445379
"1","BAET","1",0.000334128369669703,0.000196655612894497
"1","BAET","2",0.000334218595135607,0.000196753997205763
"1","BAET","4",0.000334108408736039,0.000196625629173895
"1","BAET","8",0.000334226887227266,0.000196785818069483
"1","NZMS","1",0.896718383697809,0.0405794821829346
"1","NZMS","2",0.896606325895039,0.0407317725980374
"1","NZMS","4",0.896693549912949,0.0405894301924956
"1","NZMS","8",0.896530547325149,0.0408073261614628
"1","CHIR","1",0.00199991694102905,0.00141429395646509
"1","CHIR","2",0.00201195012673806,0.00142708193922747
"1","CHIR","4",0.00201227217063014,0.00140769260551284
"1","CHIR","8",0.00202106285432341,0.00138499852155333
"1","GAMM","1",0.0430634239294097,0.00758875825549268
"1","GAMM","2",0.0432052853855323,0.00773544310249137
"1","GAMM","4",0.0430420011900668,0.00757230816676896
"1","GAMM","8",0.0432096683036422,0.00773734748800355
"1.1","HYOS","1",0.037138628395852,0.0179009333327036
"1.1","HYOS","2",0.0370908577945127,0.0178980834914186
"1.1","HYOS","4",0.0372889808517991,0.0179844331689756
"1.1","HYOS","8",0.0373690154915236,0.0180861908095647
"1.1","BAET","1",0.00020565656202817,7.03053587697826e-05
"1.1","BAET","2",0.000205634250912729,7.03007684003599e-05
"1.1","BAET","4",0.0002056868104689,7.03009465232919e-05
"1.1","BAET","8",0.000205676200140587,7.02736630242661e-05
"1.1","NZMS","1",0.922490025798913,0.0184997404371679
"1.1","NZMS","2",0.922542028221744,0.0184966080002835
"1.1","NZMS","4",0.922308332093456,0.0185981374103136
"1.1","NZMS","8",0.922227529705231,0.0186943542383815
"1.1","CHIR","1",0.001480729402228,0.00100702193604889
"1.1","CHIR","2",0.00148108304192473,0.00100802371526169
"1.1","CHIR","4",0.00150711485745095,0.00103387833837127
"1.1","CHIR","8",0.0015143375691024,0.00103231727248659
"1.1","GAMM","1",0.0386849598409792,0.00451496215679395
"1.1","GAMM","2",0.038680396690906,0.00451786818055158
"1.1","GAMM","4",0.0386898853868248,0.00450835634157198
"1.1","GAMM","8",0.0386834410340022,0.00449710942993361
"1.2","HYOS","1",0.0313806932469244,0.0156956072561224
"1.2","HYOS","2",0.0313485105982595,0.0156761938807058
"1.2","HYOS","4",0.0313315961185674,0.0156684525201501
"1.2","HYOS","8",0.0313952964411332,0.0156977891755224
"1.2","BAET","1",0.000193725677657148,7.76577577246933e-05
"1.2","BAET","2",0.000193712183811028,7.76441599232669e-05
"1.2","BAET","4",0.000193718157274676,7.76519797329768e-05
"1.2","BAET","8",0.000193707645977976,7.76514280449848e-05
"1.2","NZMS","1",0.928521616129592,0.0169991176126541
"1.2","NZMS","2",0.928572761652877,0.0169586109625578
"1.2","NZMS","4",0.928594118277507,0.0169429844172089
"1.2","NZMS","8",0.928508273497331,0.0170062686567671
"1.2","CHIR","1",0.00125914192079508,0.000941494442288473
"1.2","CHIR","2",0.00125832554897814,0.000941331822965684
"1.2","CHIR","4",0.00125787403148662,0.000941409659846349
"1.2","CHIR","8",0.00126147510607321,0.000941712820179751
"1.2","GAMM","1",0.0386448230250317,0.00482619685225756
"1.2","GAMM","2",0.0386266900160744,0.00482873036238961
"1.2","GAMM","4",0.038622693415164,0.00482831044377789
"1.2","GAMM","8",0.0386412473094843,0.00482907735304314
"1.5","HYOS","1",0.0189535563523295,0.00722939098021558
"1.5","HYOS","2",0.0189534887810953,0.0072291483302055
"1.5","HYOS","4",0.0189524086973435,0.00722759367924285
"1.5","HYOS","8",0.0189543197062122,0.0072313606840541
"1.5","BAET","1",0.000164874440100735,6.33809283005322e-05
"1.5","BAET","2",0.000164874823877171,6.33800869475797e-05
"1.5","BAET","4",0.000164871071159215,6.33731086228712e-05
"1.5","BAET","8",0.000164875347664865,6.338610905006e-05
"1.5","NZMS","1",0.942676009984203,0.0121903725823489
"1.5","NZMS","2",0.942675205534797,0.0121888403912755
"1.5","NZMS","4",0.942676899917038,0.0121808359656051
"1.5","NZMS","8",0.94267216750527,0.0121958105189939
"1.5","CHIR","1",0.000536354252324469,0.000365309233730853
"1.5","CHIR","2",0.000536300002867458,0.000365208472532312
"1.5","CHIR","4",0.000536123560819305,0.000364956919775811
"1.5","CHIR","8",0.000536017304508353,0.000364751868091413
"1.5","GAMM","1",0.0376692049710426,0.013416672838495
"1.5","GAMM","2",0.0376701308573626,0.013416796587807
"1.5","GAMM","4",0.0376696967536397,0.013413735467049
"1.5","GAMM","8",0.0376726201363443,0.0134213982628812
