"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.057884147062083,0.0356430175645406
"1","HYOS","2",0.059520331361521,0.0377781750110334
"1","HYOS","4",0.0598269133075968,0.035744153643782
"1","HYOS","8",0.0597453044802232,0.0356238172873048
"1","BAET","1",0.000334128369669703,0.000196655612894497
"1","BAET","2",0.000334240910769866,0.000200162441375824
"1","BAET","4",0.000332799210687448,0.000194927003571786
"1","BAET","8",0.000332793088314944,0.000194989206191587
"1","NZMS","1",0.896718383697809,0.0405794821829346
"1","NZMS","2",0.899049449252101,0.0400301972170012
"1","NZMS","4",0.900226203428675,0.0363920982486075
"1","NZMS","8",0.900316299552153,0.0362784141698579
"1","CHIR","1",0.00199991694102905,0.00141429395646509
"1","CHIR","2",0.00203290671676038,0.00147910992579785
"1","CHIR","4",0.00199438884664223,0.00141665726868566
"1","CHIR","8",0.0019946252349773,0.00141849867873692
"1","GAMM","1",0.0430634239294097,0.00758875825549268
"1","GAMM","2",0.0390630717588477,0.00496215101337634
"1","GAMM","4",0.0376196952063982,0.00309098525720244
"1","GAMM","8",0.0376109776443312,0.0030864899491735
"1.1","HYOS","1",0.037138628395852,0.0179009333327036
"1.1","HYOS","2",0.0389962405019614,0.0195793107086378
"1.1","HYOS","4",0.0386209322091727,0.0192887751429977
"1.1","HYOS","8",0.0385535489334651,0.0192394543700971
"1.1","BAET","1",0.00020565656202817,7.03053587697826e-05
"1.1","BAET","2",0.000205651625500659,7.02037981024839e-05
"1.1","BAET","4",0.000205510496157016,7.02624576350141e-05
"1.1","BAET","8",0.000205496268529724,7.02511164945076e-05
"1.1","NZMS","1",0.922490025798913,0.0184997404371679
"1.1","NZMS","2",0.92166866150941,0.0200101989401625
"1.1","NZMS","4",0.922098334874363,0.0197118478871459
"1.1","NZMS","8",0.922167952711955,0.0196505488711851
"1.1","CHIR","1",0.001480729402228,0.00100702193604889
"1.1","CHIR","2",0.00148676966866029,0.0010125759189895
"1.1","CHIR","4",0.001482935197581,0.00100928930127607
"1.1","CHIR","8",0.00148245039976388,0.00100864647759198
"1.1","GAMM","1",0.0386849598409792,0.00451496215679395
"1.1","GAMM","2",0.037642676694468,0.00339802838383298
"1.1","GAMM","4",0.0375922872227267,0.00341154897324669
"1.1","GAMM","8",0.037590551686286,0.00342228810959325
"1.2","HYOS","1",0.0313806932469244,0.0156956072561224
"1.2","HYOS","2",0.0303254829467774,0.0151461846168837
"1.2","HYOS","4",0.0303198073887395,0.0151417818150222
"1.2","HYOS","8",0.0303197338347907,0.0151417296374879
"1.2","BAET","1",0.000193725677657148,7.76577577246933e-05
"1.2","BAET","2",0.000194545883975859,7.74116187445902e-05
"1.2","BAET","4",0.000194561272197444,7.741901750894e-05
"1.2","BAET","8",0.000194559524586743,7.74143217426821e-05
"1.2","NZMS","1",0.928521616129592,0.0169991176126541
"1.2","NZMS","2",0.930170060587808,0.0159397044680815
"1.2","NZMS","4",0.930227155193469,0.0159589646577765
"1.2","NZMS","8",0.930227222723734,0.0159589415236444
"1.2","CHIR","1",0.00125914192079508,0.000941494442288473
"1.2","CHIR","2",0.00126258981564214,0.000939178712214612
"1.2","CHIR","4",0.00126232178725356,0.000939214355557682
"1.2","CHIR","8",0.00126232204833061,0.00093921445940186
"1.2","GAMM","1",0.0386448230250317,0.00482619685225756
"1.2","GAMM","2",0.0380473207657967,0.00389137154241561
"1.2","GAMM","4",0.0379961543583404,0.00379322198168304
"1.2","GAMM","8",0.0379961618685574,0.0037932104797404
"1.5","HYOS","1",0.0189535563523297,0.00722939098021565
"1.5","HYOS","2",0.0188864439357744,0.00719456388157466
"1.5","HYOS","4",0.0191018420473267,0.00774720822380969
"1.5","HYOS","8",0.0191071145431713,0.00786859377244342
"1.5","BAET","1",0.000164874440100736,6.33809283005325e-05
"1.5","BAET","2",0.000164451752319273,6.31810412827491e-05
"1.5","BAET","4",0.000165235882057661,6.51409551515766e-05
"1.5","BAET","8",0.000164970815413736,6.58318140292046e-05
"1.5","NZMS","1",0.942676009984202,0.0121903725823491
"1.5","NZMS","2",0.943861521873088,0.0112220238402889
"1.5","NZMS","4",0.944738389703781,0.0119256369395802
"1.5","NZMS","8",0.945760566593894,0.0115629150774971
"1.5","CHIR","1",0.000536354252324475,0.000365309233730858
"1.5","CHIR","2",0.000534642142861912,0.000364528027889419
"1.5","CHIR","4",0.000551519908351218,0.000394956551083872
"1.5","CHIR","8",0.000556510837696962,0.000399233699531895
"1.5","GAMM","1",0.0376692049710431,0.0134166728384954
"1.5","GAMM","2",0.0365529402959561,0.0117966177292258
"1.5","GAMM","4",0.0354430124584839,0.0105209129560286
"1.5","GAMM","8",0.0344108372098238,0.00895274840938151
