"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.057884147062083,0.0356430175645406
"1","HYOS","2",0.0601423312994633,0.0311082915258084
"1","HYOS","4",0.0594317193799774,0.0317235191759071
"1","HYOS","8",0.0612799437926589,0.0312220969295027
"1","BAET","1",0.000334128369669703,0.000196655612894497
"1","BAET","2",0.000341593896159572,0.000185917753314483
"1","BAET","4",0.000341425378283734,0.000185619494220187
"1","BAET","8",0.000341335689965085,0.000185283332288236
"1","NZMS","1",0.896718383697809,0.0405794821829346
"1","NZMS","2",0.0529030709190532,0.00582136920173545
"1","NZMS","4",0.0174205856427573,0.00195934391161292
"1","NZMS","8",0.0073687131610273,0.000781717739284765
"1","CHIR","1",0.00199991694102905,0.00141429395646509
"1","CHIR","2",0.00206492810121137,0.0013353066778429
"1","CHIR","4",0.00208502616042895,0.00136394633601647
"1","CHIR","8",0.00208527957335157,0.00136288338639387
"1","GAMM","1",0.0430634239294097,0.00758875825549268
"1","GAMM","2",0.884548075784113,0.0282630661164043
"1","GAMM","4",0.920721243438553,0.0311843693438682
"1","GAMM","8",0.928924727782997,0.0315718400655563
"1.1","HYOS","1",0.037138628395852,0.0179009333327036
"1.1","HYOS","2",0.0503714055558511,0.0262285152418878
"1.1","HYOS","4",0.0525619099704154,0.0283373575053578
"1.1","HYOS","8",0.0506894871284087,0.0270371624459019
"1.1","BAET","1",0.00020565656202817,7.03053587697826e-05
"1.1","BAET","2",0.00021814170387461,7.21146511943307e-05
"1.1","BAET","4",0.00021808850575144,7.21073855946197e-05
"1.1","BAET","8",0.000218129345166522,7.21552816773896e-05
"1.1","NZMS","1",0.922490025798913,0.0184997404371679
"1.1","NZMS","2",0.0603651388683233,0.00792458893432667
"1.1","NZMS","4",0.0201069363992735,0.00246194695234629
"1.1","NZMS","8",0.008881193764277,0.00126829481869639
"1.1","CHIR","1",0.001480729402228,0.00100702193604889
"1.1","CHIR","2",0.00157862128187169,0.000975584914882986
"1.1","CHIR","4",0.00158188823012467,0.000977980012379773
"1.1","CHIR","8",0.00158046997222778,0.000977667237653696
"1.1","GAMM","1",0.0386849598409792,0.00451496215679395
"1.1","GAMM","2",0.887466692590079,0.0245201866332361
"1.1","GAMM","4",0.925531176894435,0.0279292569962462
"1.1","GAMM","8",0.93863071978992,0.0271624060120062
"1.2","HYOS","1",0.0313806932469244,0.0156956072561224
"1.2","HYOS","2",0.0467398191201685,0.0267257699182184
"1.2","HYOS","4",0.0481610374148181,0.028793999716185
"1.2","HYOS","8",0.0476058493922704,0.0295307141002069
"1.2","BAET","1",0.000193725677657148,7.76577577246933e-05
"1.2","BAET","2",0.000207257474985198,8.03703072764767e-05
"1.2","BAET","4",0.000206618413593591,8.05946476481162e-05
"1.2","BAET","8",0.000206417611098913,8.05754042005161e-05
"1.2","NZMS","1",0.928521616129592,0.0169991176126541
"1.2","NZMS","2",0.0892786848552878,0.01547508144512
"1.2","NZMS","4",0.0336829254516589,0.00595191651058142
"1.2","NZMS","8",0.0146381131935537,0.00262485452334804
"1.2","CHIR","1",0.00125914192079508,0.000941494442288473
"1.2","CHIR","2",0.0015190284463246,0.000948090046909954
"1.2","CHIR","4",0.0015199483168426,0.00100245895287406
"1.2","CHIR","8",0.00153855766701295,0.00102149562087004
"1.2","GAMM","1",0.0386448230250317,0.00482619685225756
"1.2","GAMM","2",0.862255210103234,0.0277799772107695
"1.2","GAMM","4",0.916429470403087,0.029193174205931
"1.2","GAMM","8",0.936011062136064,0.029641431536664
"1.5","HYOS","1",0.0189535563523297,0.00722939098021565
"1.5","HYOS","2",0.0335702709502776,0.0320524239769545
"1.5","HYOS","4",0.0326510416141215,0.0336907472036976
"1.5","HYOS","8",0.033174368837015,0.0350151845924797
"1.5","BAET","1",0.000164874440100736,6.33809283005325e-05
"1.5","BAET","2",0.000188391606400686,0.000115414324724228
"1.5","BAET","4",0.0001837381031726,0.000129887020606445
"1.5","BAET","8",0.000179497175575133,0.000132244752015395
"1.5","NZMS","1",0.942676009984202,0.0121903725823491
"1.5","NZMS","2",0.354027257778381,0.190221460030971
"1.5","NZMS","4",0.120577236294331,0.0821040468103345
"1.5","NZMS","8",0.0496959501374601,0.0368077497112852
"1.5","CHIR","1",0.000536354252324475,0.000365309233730858
"1.5","CHIR","2",0.549062965090058,0.225010495213761
"1.5","CHIR","4",0.767213281375276,0.160446825805347
"1.5","CHIR","8",0.829813024222499,0.13923022984671
"1.5","GAMM","1",0.0376692049710431,0.0134166728384954
"1.5","GAMM","2",0.0631511145748827,0.0353325138530651
"1.5","GAMM","4",0.0793747026130998,0.0737951955183531
"1.5","GAMM","8",0.0871371596274508,0.0907791600987969
