"StageGroup","Abundance","Biomass","Parameter","SensitivityIncrement","TemperatureFactor","Increment"
"S1_HYOS",49.2466596814043,398.59806022538,"TempSurvival_HYOS",-0.01,1,-0.01
"S2_HYOS",13.6394370412722,199.162048169366,"TempSurvival_HYOS",-0.01,1,-0.01
"S3_HYOS",0.766013448872575,10.5917129156915,"TempSurvival_HYOS",-0.01,1,-0.01
"S1_BAET",54.5271341176172,1.21993864220649,"TempSurvival_HYOS",-0.01,1,-0.01
"S2_BAET",9.41099099716429,1.48893746407707,"TempSurvival_HYOS",-0.01,1,-0.01
"S3_BAET",2.27483179342729,0.293123673514036,"TempSurvival_HYOS",-0.01,1,-0.01
"S1_NZMS",18747.3110008302,1673.3894910527,"TempSurvival_HYOS",-0.01,1,-0.01
"S2_NZMS",7493.98569505176,3375.92186201804,"TempSurvival_HYOS",-0.01,1,-0.01
"S3_NZMS",4282.07051490405,3784.98639008873,"TempSurvival_HYOS",-0.01,1,-0.01
"S1_CHIR",51.6637561583251,8.50396752853843,"TempSurvival_HYOS",-0.01,1,-0.01
"S2_CHIR",9.72545874846716,9.20133880868295,"TempSurvival_HYOS",-0.01,1,-0.01
"S3_CHIR",4.47516780642586,3.91398611022105,"TempSurvival_HYOS",-0.01,1,-0.01
"S1_GAMM",36.5556832148161,106.404926063548,"TempSurvival_HYOS",-0.01,1,-0.01
"S2_GAMM",18.2981199000044,192.020849409479,"TempSurvival_HYOS",-0.01,1,-0.01
"S3_GAMM",5.35398877292027,109.684101332331,"TempSurvival_HYOS",-0.01,1,-0.01
"S1_HYOS",49.2202639184005,398.309284925036,"TempSurvival_BAET",-0.01,1,-0.01
"S2_HYOS",13.6265930451609,198.964731665149,"TempSurvival_BAET",-0.01,1,-0.01
"S3_HYOS",0.768295500082932,10.6247396647079,"TempSurvival_BAET",-0.01,1,-0.01
"S1_BAET",54.4606825666773,1.21745729732989,"TempSurvival_BAET",-0.01,1,-0.01
"S2_BAET",9.40620621641917,1.4876437681054,"TempSurvival_BAET",-0.01,1,-0.01
"S3_BAET",2.27954781746005,0.293695648481404,"TempSurvival_BAET",-0.01,1,-0.01
"S1_NZMS",18749.0575229682,1673.545386039,"TempSurvival_BAET",-0.01,1,-0.01
"S2_NZMS",7494.44585947832,3376.12915880389,"TempSurvival_BAET",-0.01,1,-0.01
"S3_NZMS",4282.37451342725,3785.25509894556,"TempSurvival_BAET",-0.01,1,-0.01
"S1_CHIR",51.6654186777963,8.50461377448895,"TempSurvival_BAET",-0.01,1,-0.01
"S2_CHIR",9.7252524688668,9.20084001126404,"TempSurvival_BAET",-0.01,1,-0.01
"S3_CHIR",4.47473830386784,3.91286744069584,"TempSurvival_BAET",-0.01,1,-0.01
"S1_GAMM",36.555856765555,106.405431228598,"TempSurvival_BAET",-0.01,1,-0.01
"S2_GAMM",18.2998458003471,192.03896104344,"TempSurvival_BAET",-0.01,1,-0.01
"S3_GAMM",5.35431831144026,109.690852399237,"TempSurvival_BAET",-0.01,1,-0.01
"S1_HYOS",49.2270158306304,398.382777101942,"TempSurvival_CHIR",-0.01,1,-0.01
"S2_HYOS",13.6297358175596,199.013599366235,"TempSurvival_CHIR",-0.01,1,-0.01
"S3_HYOS",0.767659425004338,10.6157557211444,"TempSurvival_CHIR",-0.01,1,-0.01
"S1_BAET",54.4773411078335,1.21807590460099,"TempSurvival_CHIR",-0.01,1,-0.01
"S2_BAET",9.40742227080312,1.48796738703441,"TempSurvival_CHIR",-0.01,1,-0.01
"S3_BAET",2.27839609976133,0.293556325860905,"TempSurvival_CHIR",-0.01,1,-0.01
"S1_NZMS",18748.6119328899,1673.50561256139,"TempSurvival_CHIR",-0.01,1,-0.01
"S2_NZMS",7494.3256737854,3376.07501705279,"TempSurvival_CHIR",-0.01,1,-0.01
"S3_NZMS",4282.30177221774,3785.19080189882,"TempSurvival_CHIR",-0.01,1,-0.01
"S1_CHIR",51.6649747112899,8.5044447656144,"TempSurvival_CHIR",-0.01,1,-0.01
"S2_CHIR",9.72530574975671,9.20096673728584,"TempSurvival_CHIR",-0.01,1,-0.01
"S3_CHIR",4.47484269084458,3.91314611109192,"TempSurvival_CHIR",-0.01,1,-0.01
"S1_GAMM",36.5557422918514,106.40509802279,"TempSurvival_CHIR",-0.01,1,-0.01
"S2_GAMM",18.2994796070701,192.035118203602,"TempSurvival_CHIR",-0.01,1,-0.01
"S3_GAMM",5.35421689769095,109.688774793843,"TempSurvival_CHIR",-0.01,1,-0.01
"S1_HYOS",49.2468830992244,398.600263677003,"TempSurvival_NZMS",-0.01,1,-0.01
"S2_HYOS",13.6394722450628,199.162975449908,"TempSurvival_NZMS",-0.01,1,-0.01
"S3_HYOS",0.765949697089505,10.5909464895909,"TempSurvival_NZMS",-0.01,1,-0.01
"S1_BAET",54.527347769558,1.21993989232148,"TempSurvival_NZMS",-0.01,1,-0.01
"S2_BAET",9.41101925445987,1.48893905679265,"TempSurvival_NZMS",-0.01,1,-0.01
"S3_BAET",2.27483676830398,0.293124905610016,"TempSurvival_NZMS",-0.01,1,-0.01
"S1_NZMS",18747.2975341817,1673.38828901642,"TempSurvival_NZMS",-0.01,1,-0.01
"S2_NZMS",7493.98186389224,3375.92013614136,"TempSurvival_NZMS",-0.01,1,-0.01
"S3_NZMS",4282.07109451359,3784.98690241429,"TempSurvival_NZMS",-0.01,1,-0.01
"S1_CHIR",51.6636729670716,8.50394445625365,"TempSurvival_NZMS",-0.01,1,-0.01
"S2_CHIR",9.72546217044681,9.20134286201706,"TempSurvival_NZMS",-0.01,1,-0.01
"S3_CHIR",4.47516182910033,3.9139841162506,"TempSurvival_NZMS",-0.01,1,-0.01
"S1_GAMM",36.5553982020589,106.404096458992,"TempSurvival_NZMS",-0.01,1,-0.01
"S2_GAMM",18.2982220288238,192.021921151426,"TempSurvival_NZMS",-0.01,1,-0.01
"S3_GAMM",5.35398476574801,109.684019239688,"TempSurvival_NZMS",-0.01,1,-0.01
"S1_HYOS",49.2105531728738,398.203373376276,"TempSurvival_GAMM",-0.01,1,-0.01
"S2_HYOS",13.6219027417119,198.892758570928,"TempSurvival_GAMM",-0.01,1,-0.01
"S3_HYOS",0.769132648118984,10.6368166630376,"TempSurvival_GAMM",-0.01,1,-0.01
"S1_BAET",54.4360264880544,1.21653091476594,"TempSurvival_GAMM",-0.01,1,-0.01
"S2_BAET",9.40443576354599,1.48715899632259,"TempSurvival_GAMM",-0.01,1,-0.01
"S3_BAET",2.2812531086344,0.293903160317283,"TempSurvival_GAMM",-0.01,1,-0.01
"S1_NZMS",18749.7009300652,1673.6028167113,"TempSurvival_GAMM",-0.01,1,-0.01
"S2_NZMS",7494.61284314586,3376.20438230134,"TempSurvival_GAMM",-0.01,1,-0.01
"S3_NZMS",4282.48637614192,3785.3539760778,"TempSurvival_GAMM",-0.01,1,-0.01
"S1_CHIR",51.665955319778,8.50483320486344,"TempSurvival_GAMM",-0.01,1,-0.01
"S2_CHIR",9.72518024698614,9.20065904223318,"TempSurvival_GAMM",-0.01,1,-0.01
"S3_CHIR",4.47456827442027,3.91244494866814,"TempSurvival_GAMM",-0.01,1,-0.01
"S1_GAMM",36.5559968595295,106.40583900894,"TempSurvival_GAMM",-0.01,1,-0.01
"S2_GAMM",18.3004119172925,192.044901886397,"TempSurvival_GAMM",-0.01,1,-0.01
"S3_GAMM",5.35443156467638,109.693172553416,"TempSurvival_GAMM",-0.01,1,-0.01
"S1_HYOS",49.2467942131149,398.599225488089,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_HYOS",13.6395803513941,199.163942422187,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_HYOS",0.765998854921695,10.5914953471117,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_BAET",54.5279239566485,1.21996305610836,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_BAET",9.4110470953513,1.48895228048224,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_BAET",2.27482318678722,0.293123139047052,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_NZMS",18747.3094286616,1673.38935072056,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_NZMS",7493.9878457004,3375.92283085119,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_NZMS",4282.06734209189,3784.98358559244,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_CHIR",51.6636851493999,8.50394701475131,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_CHIR",9.72546045945698,9.20134083534999,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_CHIR",4.47516481776309,3.91398511323583,"TempSurvival_HYOS",-0.009,1,-0.009
"S1_GAMM",36.5552039236288,106.403530960547,"TempSurvival_HYOS",-0.009,1,-0.009
"S2_GAMM",18.2982595383973,192.022314777667,"TempSurvival_HYOS",-0.009,1,-0.009
"S3_GAMM",5.35401927592862,109.684726229992,"TempSurvival_HYOS",-0.009,1,-0.009
