"StageGroup","Abundance","Parameter","SensitivityIncrement"
"S1_HYOS",57.2013739202723,"G1_HYOS",-0.01
"S2_HYOS",8.47217071885195,"G1_HYOS",-0.01
"S3_HYOS",0.980848254127407,"G1_HYOS",-0.01
"S1_BAET",62.2101068481516,"G1_HYOS",-0.01
"S2_BAET",9.98076215012027,"G1_HYOS",-0.01
"S3_BAET",1.93812043079468,"G1_HYOS",-0.01
"S1_NZMS",18770.7420349849,"G1_HYOS",-0.01
"S2_NZMS",7512.40989233469,"G1_HYOS",-0.01
"S3_NZMS",4305.85334998787,"G1_HYOS",-0.01
"S1_CHIR",49.4773226622419,"G1_HYOS",-0.01
"S2_CHIR",9.87686004815072,"G1_HYOS",-0.01
"S3_CHIR",4.25255446938101,"G1_HYOS",-0.01
"S1_GAMM",34.9518081242755,"G1_HYOS",-0.01
"S2_GAMM",18.0267533917379,"G1_HYOS",-0.01
"S3_GAMM",5.35420206872116,"G1_HYOS",-0.01
"S1_HYOS",48.9845577496583,"G1_BAET",-0.01
"S2_HYOS",13.5036957325532,"G1_BAET",-0.01
"S3_HYOS",0.792186531968851,"G1_BAET",-0.01
"S1_BAET",68.8192544421107,"G1_BAET",-0.01
"S2_BAET",8.15385347753108,"G1_BAET",-0.01
"S3_BAET",1.95568397503266,"G1_BAET",-0.01
"S1_NZMS",18773.0047612003,"G1_BAET",-0.01
"S2_NZMS",7501.4816419235,"G1_BAET",-0.01
"S3_NZMS",4290.11364718622,"G1_BAET",-0.01
"S1_CHIR",51.6726433212969,"G1_BAET",-0.01
"S2_CHIR",9.7250551901927,"G1_BAET",-0.01
"S3_CHIR",4.47219839015519,"G1_BAET",-0.01
"S1_GAMM",36.5491414136782,"G1_BAET",-0.01
"S2_GAMM",18.3099946317329,"G1_BAET",-0.01
"S3_GAMM",5.35785176106934,"G1_BAET",-0.01
"S1_HYOS",55.0452683478867,"G1_NZMS",-0.01
"S2_HYOS",16.7935224745931,"G1_NZMS",-0.01
"S3_HYOS",0.456588970466662,"G1_NZMS",-0.01
"S1_BAET",65.5809145769987,"G1_NZMS",-0.01
"S2_BAET",10.122020381942,"G1_NZMS",-0.01
"S3_BAET",1.58039028416688,"G1_NZMS",-0.01
"S1_NZMS",23495.1576072266,"G1_NZMS",-0.01
"S2_NZMS",6844.74435733965,"G1_NZMS",-0.01
