"temperature","taxa","q","mean_biomass","sd_biomass"
"1","HYOS","1",0.0626317876705034,0.0254049453654182
"1","HYOS","2",0.0630492951100126,0.0258198943091831
"1","HYOS","4",0.0652133508619993,0.0277233426606051
"1","HYOS","8",0.0651108113248827,0.0276695901410315
"1","BAET","1",0.000361853207273607,0.000163467934047506
"1","BAET","2",0.000361858098382117,0.000163387782517817
"1","BAET","4",0.000361830421637341,0.00016282339686657
"1","BAET","8",0.000361824246220819,0.000162868025121544
"1","NZMS","1",0.893794945087658,0.0268715148848226
"1","NZMS","2",0.893408526598214,0.0272227920721267
"1","NZMS","4",0.891364132640641,0.028873009184674
"1","NZMS","8",0.891448082653379,0.0288368625349918
"1","CHIR","1",0.00219587786681092,0.00117748482408877
"1","CHIR","2",0.00218573176128354,0.00116375530357637
"1","CHIR","4",0.00222237807002994,0.00118431783647436
"1","CHIR","8",0.00222641686061713,0.00117923718013306
"1","GAMM","1",0.0410155361677537,0.00456886030864264
"1","GAMM","2",0.0409945884321076,0.00454230958203686
"1","GAMM","4",0.0408383080056924,0.00434363395384316
"1","GAMM","8",0.0408528649149002,0.00436355551794281
"1.1","HYOS","1",0.0463603342946693,0.0147129094611108
"1.1","HYOS","2",0.0466828041872877,0.0148346994824712
"1.1","HYOS","4",0.0460147978648294,0.0143862630061555
"1.1","HYOS","8",0.0460924116846888,0.0144545831496399
"1.1","BAET","1",0.000232862606704902,4.06930895928894e-05
"1.1","BAET","2",0.000233087466333125,4.06394141733481e-05
"1.1","BAET","4",0.000232715698521013,4.07116173246756e-05
"1.1","BAET","8",0.000232766693747795,4.07318149140549e-05
"1.1","NZMS","1",0.912377699717807,0.0143825567352264
"1.1","NZMS","2",0.911998916721498,0.0144820201531366
"1.1","NZMS","4",0.912717369308244,0.0140921256614298
"1.1","NZMS","8",0.912633400506357,0.0141526412708837
"1.1","CHIR","1",0.00170122709684852,0.000802659401681923
"1.1","CHIR","2",0.00172884244786345,0.000826038540451905
"1.1","CHIR","4",0.00172925778218524,0.000829266513760535
"1.1","CHIR","8",0.00172952067264286,0.0008291474621031
"1.1","GAMM","1",0.0393278762839704,0.00334794370863723
"1.1","GAMM","2",0.0393563491770181,0.00335052185801958
"1.1","GAMM","4",0.0393058593462202,0.0033480984391063
"1.1","GAMM","8",0.0393119004425639,0.0033478745564423
"1.2","HYOS","1",0.0361751313076562,0.0114220570617992
"1.2","HYOS","2",0.0361642020760858,0.0114293198433641
"1.2","HYOS","4",0.0361745562987061,0.0114244169305236
"1.2","HYOS","8",0.0361669524621368,0.0114118809179794
"1.2","BAET","1",0.00023354300378469,3.87180889368317e-05
"1.2","BAET","2",0.00023354203606723,3.87424116136338e-05
"1.2","BAET","4",0.000233523409868082,3.87226440998383e-05
"1.2","BAET","8",0.000233532410907595,3.87188918485452e-05
"1.2","NZMS","1",0.92274057542676,0.0111589444783844
"1.2","NZMS","2",0.922749939561758,0.0111661444917604
"1.2","NZMS","4",0.922743389444846,0.0111685699973984
"1.2","NZMS","8",0.922742532026554,0.0111525191826599
"1.2","CHIR","1",0.00131171482309021,0.000881806062218219
"1.2","CHIR","2",0.00131318878996241,0.000882894685012906
"1.2","CHIR","4",0.00131828513917741,0.000889625549295672
"1.2","CHIR","8",0.00131998553854529,0.000889381791979285
"1.2","GAMM","1",0.039539035438709,0.00372528834497428
"1.2","GAMM","2",0.0395391275361266,0.00372387632589782
"1.2","GAMM","4",0.0395302457074025,0.00372536792050972
"1.2","GAMM","8",0.0395369975618559,0.00372606645186599
"1.5","HYOS","1",0.0225329394192428,0.00668218167534993
"1.5","HYOS","2",0.0225424341967073,0.00669603411011809
"1.5","HYOS","4",0.0225511066425338,0.00670872556219574
"1.5","HYOS","8",0.0225417011731037,0.00669489069214658
"1.5","BAET","1",0.000173651745398614,8.41007573286215e-05
"1.5","BAET","2",0.000173663283834876,8.41088026957255e-05
"1.5","BAET","4",0.000173672098400088,8.41126677539978e-05
"1.5","BAET","8",0.000173662505828107,8.41083579775562e-05
"1.5","NZMS","1",0.937210516481726,0.00746416457779566
"1.5","NZMS","2",0.937199086582481,0.00747832905951982
"1.5","NZMS","4",0.937188348659445,0.00749141443738935
"1.5","NZMS","8",0.937200426427437,0.00747746144839734
"1.5","CHIR","1",0.000716702128492082,0.000394204076122149
"1.5","CHIR","2",0.000716563563476465,0.000394331841999475
"1.5","CHIR","4",0.000716590732757208,0.000394350224675569
"1.5","CHIR","8",0.000716099336924211,0.00039462578506965
"1.5","GAMM","1",0.0393661902251405,0.00377080948027376
"1.5","GAMM","2",0.0393682523735,0.00376945939466943
"1.5","GAMM","4",0.0393702818668637,0.00376812648761022
"1.5","GAMM","8",0.0393681105567067,0.0037695867295589
