"","Date","BarcodeID","SpeciesID","CountTotal","SizeMean","SizeMedian","SizeSD","BiomassTotal","Notes.x","TripID","Region","Reach","RiverMile","Collector","SampleNumber","DepthTotal","DepthSample","DepthIntegrated","GearID","TimeDay","TimeBegin","TimeElapsed","SuspendedLoad","FmUse","FiltrationEfficiency","Distance","Velocity","Volume","FlagStrange","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","Notes.y","Density","X_00060_00003"
"1",2008-03-03,"D05109","NZMS",11,0.64,0.5,0.45,0.15,NA,"GC20080301","GrandCanyon","CRLeesFerry",0,"","11",NA,NA,1,4,"Day","16:19:00",5,"","Net",NA,122.26,0.41,24.78,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 9850 cfs. Original SampleID 184. Barcode retroactively assigned (2017-07-06 JDM). ",3863.96563177391,10300
"2",2008-03-03,"D05107","NZMS",169,0.51,0.5,0.12,0.73,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM).","GC20080301","GrandCanyon","CRLeesFerry",0,"","8",NA,NA,1,4,"Day","13:48:00",5,"","Net",NA,148.25,0.49,30.05,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 11600 cfs. Original SampleID 181. Barcode retroactively assigned (2017-07-06 JDM). ",48953.5397127679,10300
"3",2008-03-03,"D05108","NZMS",158,0.53,0.5,0.12,0.75,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM).","GC20080301","GrandCanyon","CRLeesFerry",0,"","9",NA,NA,1,4,"Day","13:57:00",5,"","Net",NA,135.87,0.45,27.54,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 11500 cfs. Original SampleID 182. Barcode retroactively assigned (2017-07-06 JDM). ",49938.4458973609,10300
"4",2008-03-03,"D05104","NZMS",0,NA,NA,NA,0,NA,"GC20080301","GrandCanyon","CRLeesFerry",0,"","3",NA,NA,1,4,"Crepuscular","07:46:00",5,"","Net",NA,102.27,0.34,20.73,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 8000 cfs. Original SampleID 176. Barcode retroactively assigned (2017-07-06 JDM). ",0,10300
"5",2008-03-03,"D05105","NZMS",6,0.5,0.5,0,0.02,NA,"GC20080301","GrandCanyon","CRLeesFerry",0,"","5",NA,NA,1,4,"Day","10:26:00",6,"","Net",NA,149.29,0.41,30.26,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 11600 cfs. Original SampleID 178. Barcode retroactively assigned (2017-07-06 JDM). ",1725.93405675703,10300
"6",2008-03-03,"D05114","NZMS",0,NA,NA,NA,0,NA,"GC20080301","GrandCanyon","CRLeesFerry",0,"","2",NA,NA,1,4,"Crepuscular","07:36:00",5,"","Net",NA,97.54,0.33,19.77,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 7900 cfs. Original SampleID 175. Barcode retroactively assigned (2017-07-06 JDM). ",0,10300
"7",2008-03-03,"D05110","NZMS",34,0.59,0.5,0.19,0.22,NA,"GC20080301","GrandCanyon","CRLeesFerry",0,"","13",NA,NA,1,4,"Crepuscular","19:10:00",4,"","Net",NA,106.01,0.44,21.49,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 9800 cfs. Original SampleID 186. Barcode retroactively assigned (2017-07-06 JDM). ",13771.5991542881,10300
"8",2008-03-03,"D05103","NZMS",11,0.55,0.5,0.15,0.06,NA,"GC20080301","GrandCanyon","CRLeesFerry",0,"","1",NA,NA,1,4,"Crepuscular","07:26:00",5,"","Net",NA,97.43,0.32,19.75,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 7800 cfs. Original SampleID 174. Barcode retroactively assigned (2017-07-06 JDM). ",4848.05409394216,10300
"9",2008-03-03,"D05111","NZMS",16,0.56,0.5,0.17,0.09,NA,"GC20080301","GrandCanyon","CRLeesFerry",0,"","14",NA,NA,1,4,"Crepuscular","19:21:00",5,"","Net",NA,109.81,0.37,22.26,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 9930 cfs. Original SampleID 187. Barcode retroactively assigned (2017-07-06 JDM). ",6256.5755684298,10300
"10",2008-03-03,"D05112","NZMS",42,0.52,0.5,0.11,0.19,NA,"GC20080301","GrandCanyon","CRLeesFerry",0,"","10",NA,NA,1,4,"Day","16:07:00",5,"","Net",NA,111.61,0.37,22.62,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 9950 cfs. Original SampleID 183. Barcode retroactively assigned (2017-07-06 JDM). ",16162.1287313119,10300
"11",2008-03-03,"D05113","NZMS",111,0.58,0.5,0.3,0.92,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM).","GC20080301","GrandCanyon","CRLeesFerry",0,"","15",NA,NA,1,4,"Night","19:30:00",4.33,"","Net",NA,120.43,0.46,24.41,FALSE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 10000 cfs. Original SampleID 188. Barcode retroactively assigned (2017-07-06 JDM). ",39581.9395458072,10300
"12",2008-03-05,"D05150","NZMS",8950,0.5,0.5,0.01,33.23,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM).","GC20080301","GrandCanyon","CRLeesFerry",0,"","4",NA,NA,1,4,"Day","10:30:00",1.75,"","Net",NA,104.61,1,21.2,TRUE,"","Foodbase",2009-03-16,NA,FALSE,"","","Discharge = 26000 cfs. Original SampleID 190. Short sample duration verified (2017-06-28 JDM). Barcode retroactively assigned (2017-07-06 JDM). ",77497.1207206424,26400
